Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Gianluigi Buffon,83,worldcup,Italy,86,77,62,78,47,88,https://wefut.com/player/14/14297/gianluigi-buffon
Hugo Lloris,83,worldcup,France,85,78,71,85,65,80,https://wefut.com/player/14/14290/hugo-lloris
Joe Hart,83,worldcup,England,85,77,79,86,56,79,https://wefut.com/player/14/14289/joe-hart
Júlio César,83,green,Brazil,87,80,67,90,39,90,https://wefut.com/player/14/15393/julio-cesar
Diego Benaglio,83,goldif,Switzerland,90,83,72,90,42,85,https://wefut.com/player/14/15391/diego-benaglio
Tim Howard,83,goldif,United States,86,83,77,88,50,85,https://wefut.com/player/14/15352/tim-howard
Diego Alves,83,goldif,Brazil,93,78,74,93,55,79,https://wefut.com/player/14/13327/diego-alves
Diego López,83,goldrare,Spain,81,86,76,79,34,83,https://wefut.com/player/14/17095/diego-lopez
José Reina,83,goldrare,Spain,83,78,90,84,50,83,https://wefut.com/player/14/16844/jose-reina
José Reina,83,goldrare,Spain,83,78,90,84,50,83,https://wefut.com/player/14/15491/jose-reina
Joe Hart,83,goldrare,England,85,76,79,87,56,81,https://wefut.com/player/14/2059/joe-hart
Diego López,83,goldrare,Spain,81,86,76,79,34,83,https://wefut.com/player/14/1846/diego-lopez
Victor Valdés,83,goldrare,Spain,82,78,77,83,60,90,https://wefut.com/player/14/869/victor-valdes
José Reina,83,goldrare,Spain,83,78,90,84,50,83,https://wefut.com/player/14/354/jose-reina
Roman Weidenfeller,83,goldrare,Germany,83,84,60,85,38,86,https://wefut.com/player/14/49/roman-weidenfeller
Fernando Muslera,82,worldcup,Uruguay,78,80,79,86,63,80,https://wefut.com/player/14/14341/fernando-muslera
De Gea,82,worldcup,Spain,86,74,86,88,51,76,https://wefut.com/player/14/14337/de-gea
René Adler,82,worldcup,Germany,85,81,75,84,46,81,https://wefut.com/player/14/14327/rene-adler
Júlio César,82,worldcup,Brazil,83,77,67,86,39,82,https://wefut.com/player/14/14317/julio-cesar
Jefferson,82,worldcup,Brazil,81,81,70,87,52,80,https://wefut.com/player/14/14313/jefferson
Ralf Fährmann,82,goldblue,Germany,85,80,77,86,40,79,https://wefut.com/player/14/14073/ralf-fahrmann
David Marshall,82,goldblue,Scotland,84,80,75,86,50,82,https://wefut.com/player/14/14016/david-marshall
Vincent Enyeama,82,green,Nigeria,84,84,80,92,45,86,https://wefut.com/player/14/15365/vincent-enyeama
Diego Benaglio,82,goldif,Switzerland,88,80,72,88,42,82,https://wefut.com/player/14/15354/diego-benaglio
Cédric Carrasso,82,goldif,France,83,83,80,87,38,85,https://wefut.com/player/14/14045/cedric-carrasso
Bernd Leno,82,goldif,Germany,86,82,84,88,46,83,https://wefut.com/player/14/13399/bernd-leno
Tim Howard,82,goldif,United States,84,80,77,85,50,83,https://wefut.com/player/14/11913/tim-howard
Diego Alves,82,goldif,Brazil,92,75,74,92,55,76,https://wefut.com/player/14/11841/diego-alves
Júlio César,82,goldrare,Brazil,83,77,67,86,39,82,https://wefut.com/player/14/17096/julio-cesar
Júlio César,82,goldrare,Brazil,83,77,67,86,39,82,https://wefut.com/player/14/13419/julio-cesar
De Gea,82,goldrare,Spain,86,73,86,88,51,75,https://wefut.com/player/14/7018/de-gea
Fernando Muslera,82,goldrare,Uruguay,78,80,79,87,63,81,https://wefut.com/player/14/4948/fernando-muslera
Stéphane Ruffier,82,goldrare,France,83,80,78,85,55,81,https://wefut.com/player/14/3310/stephane-ruffier
Jefferson,82,goldrare,Brazil,81,81,70,87,52,80,https://wefut.com/player/14/1174/jefferson
Steve Mandanda,83,goldrare,France,83,82,80,82,39,82,https://wefut.com/player/14/480/julio-cesar
Tim Howard,81,worldcup,United States,83,77,77,83,50,80,https://wefut.com/player/14/14376/tim-howard
Rui Patrício,81,worldcup,Portugal,85,79,82,82,45,79,https://wefut.com/player/14/14372/rui-patricio
Federico Marchetti,81,worldcup,Italy,84,78,66,85,55,80,https://wefut.com/player/14/14368/federico-marchetti
Roman Weidenfeller,81,worldcup,Germany,82,82,50,83,38,85,https://wefut.com/player/14/14366/roman-weidenfeller
Claudio Bravo,81,worldcup,Chile,84,74,88,85,58,78,https://wefut.com/player/14/14357/claudio-bravo
Asmir Begovic,81,worldcup,Bosnia Herzegovina,83,80,74,85,52,80,https://wefut.com/player/14/14349/asmir-begovic
Simon Mignolet,81,worldcup,Belgium,84,79,72,84,55,80,https://wefut.com/player/14/14347/simon-mignolet
Jasper Cillessen,81,goldblue,Netherlands,83,77,82,83,57,77,https://wefut.com/player/14/13910/jasper-cillessen
Tim Krul,81,green,Netherlands,87,84,72,90,50,81,https://wefut.com/player/14/15402/tim-krul
Guillermo Ochoa,81,green,Mexico,88,74,76,90,47,80,https://wefut.com/player/14/15349/guillermo-ochoa
Kevin Trapp,81,goldif,Germany,87,86,77,87,45,84,https://wefut.com/player/14/17107/kevin-trapp
Sven Ulreich,81,goldif,Germany,87,83,74,87,44,82,https://wefut.com/player/14/13855/sven-ulreich
Benoît Costil,81,goldif,France,84,84,75,85,46,84,https://wefut.com/player/14/13488/benoit-costil
Diego Benaglio,81,goldif,Switzerland,86,78,72,85,42,79,https://wefut.com/player/14/12225/diego-benaglio
Bernd Leno,81,goldif,Germany,84,80,84,86,46,80,https://wefut.com/player/14/11859/bernd-leno
Michel Vorm,81,goldrare,Netherlands,83,74,76,84,60,82,https://wefut.com/player/14/15587/michel-vorm
Claudio Bravo,81,goldrare,Chile,84,74,88,85,55,78,https://wefut.com/player/14/15478/claudio-bravo
Simon Mignolet,81,goldrare,Belgium,83,81,73,84,57,81,https://wefut.com/player/14/13388/simon-mignolet
Rui Patrício,81,goldrare,Portugal,85,79,82,82,45,79,https://wefut.com/player/14/4441/rui-patricio
Claudio Bravo,81,goldrare,Chile,84,74,88,85,55,78,https://wefut.com/player/14/4006/claudio-bravo
Asmir Begovic,81,goldrare,Bosnia Herzegovina,83,81,74,86,52,78,https://wefut.com/player/14/3846/asmir-begovic
Diego Alves,81,goldrare,Brazil,90,72,74,90,55,73,https://wefut.com/player/14/3177/diego-alves
Helton,81,goldrare,Brazil,83,78,76,85,64,80,https://wefut.com/player/14/1468/helton
Michel Vorm,81,goldrare,Netherlands,83,74,76,84,60,82,https://wefut.com/player/14/1314/michel-vorm
Júlio César,82,goldrare,Brazil,83,77,67,86,38,82,https://wefut.com/player/14/1017/cedric-carrasso
Morgan De Sanctis,81,goldrare,Italy,82,80,62,81,34,84,https://wefut.com/player/14/91/morgan-de-sanctis
Mickaël Landreau,81,goldrare,France,80,78,84,84,32,78,https://wefut.com/player/14/80/mickael-landreau
Tim Howard,81,gold,United States,83,77,77,83,50,80,https://wefut.com/player/14/252/tim-howard
Diego Benaglio,80,worldcup,Switzerland,84,75,72,83,42,76,https://wefut.com/player/14/14422/diego-benaglio
Vincent Enyeama,80,worldcup,Nigeria,78,77,80,88,42,79,https://wefut.com/player/14/14415/vincent-enyeama
Michel Vorm,80,worldcup,Netherlands,83,74,76,85,60,80,https://wefut.com/player/14/14408/michel-vorm
Keylor Navas,80,goldblue,Costa Rica,90,78,71,88,57,79,https://wefut.com/player/14/14174/keylor-navas
Beto,80,motm,Portugal,82,79,76,84,47,81,https://wefut.com/player/14/14134/beto
Keylor Navas,80,green,Costa Rica,92,78,70,89,61,80,https://wefut.com/player/14/15468/keylor-navas
Wilfredo Caballero,80,goldif,Argentina,83,74,68,88,52,86,https://wefut.com/player/14/14080/wilfredo-caballero
Kevin Trapp,80,goldif,Germany,85,83,77,85,45,82,https://wefut.com/player/14/13987/kevin-trapp
Guillermo Ochoa,80,goldif,Mexico,86,71,76,87,47,77,https://wefut.com/player/14/13506/guillermo-ochoa
Benoît Costil,80,goldif,France,81,81,75,83,46,82,https://wefut.com/player/14/12345/benoit-costil
Vincent Enyeama,80,goldif,Nigeria,82,82,75,87,42,80,https://wefut.com/player/14/12207/vincent-enyeama
Oliver Baumann,80,goldif,Germany,83,78,73,84,47,78,https://wefut.com/player/14/12171/oliver-baumann
Tim Krul,80,goldif,Netherlands,84,82,72,86,50,78,https://wefut.com/player/14/12135/tim-krul
Brad Guzan,80,goldif,United States,82,82,69,84,50,80,https://wefut.com/player/14/11784/brad-guzan
Sven Ulreich,80,goldif,Germany,85,80,74,85,44,79,https://wefut.com/player/14/11766/sven-ulreich
Andrés Fernández,80,goldrare,Spain,86,73,69,86,55,75,https://wefut.com/player/14/16856/andres-fernandez
Wojciech Szczęsny,80,goldrare,Poland,85,80,70,84,50,76,https://wefut.com/player/14/13391/wojciech-szczesny
Simon Mignolet,80,goldrare,Belgium,81,81,72,83,55,80,https://wefut.com/player/14/3921/simon-mignolet
Andrea Consigli,80,goldrare,Italy,82,76,68,86,45,78,https://wefut.com/player/14/2917/andrea-consigli
Andrés Fernández,80,goldrare,Spain,86,73,69,86,55,75,https://wefut.com/player/14/1803/andres-fernandez
Christian Abbiati,80,goldrare,Italy,84,75,73,84,50,79,https://wefut.com/player/14/33/christian-abbiati
Cédric Carrasso,81,goldrare,France,79,81,72,85,51,79,https://wefut.com/player/14/16857/guaita
Marc-André ter Stegen,80,gold,Germany,80,83,78,83,38,76,https://wefut.com/player/14/15487/marc-andre-ter-stegen
Kossi Agassa,80,gold,Togo,80,85,63,83,43,74,https://wefut.com/player/14/13273/kossi-agassa
Bernd Leno,80,gold,Germany,82,78,84,84,46,77,https://wefut.com/player/14/6900/bernd-leno
Marc-André ter Stegen,80,gold,Germany,80,83,78,83,38,76,https://wefut.com/player/14/6871/marc-andre-ter-stegen
Guaita,80,gold,Spain,80,81,72,85,51,79,https://wefut.com/player/14/6279/guaita
Diego Cavalieri,80,gold,Brazil,80,80,73,82,29,80,https://wefut.com/player/14/1333/diego-cavalieri
Diego Benaglio,80,gold,Switzerland,84,75,72,83,42,76,https://wefut.com/player/14/1002/diego-benaglio
Brad Guzan,79,worldcup,United States,80,80,69,82,50,77,https://wefut.com/player/14/14466/brad-guzan
Maarten Stekelenburg,79,worldcup,Netherlands,84,74,82,79,35,77,https://wefut.com/player/14/14452/maarten-stekelenburg
Tim Krul,79,worldcup,Netherlands,81,79,72,84,50,75,https://wefut.com/player/14/14451/tim-krul
Marc-André ter Stegen,79,worldcup,Germany,83,73,80,84,38,77,https://wefut.com/player/14/14449/marc-andre-ter-stegen
Diego Cavalieri,79,worldcup,Brazil,78,79,73,82,29,79,https://wefut.com/player/14/14431/diego-cavalieri
Keylor Navas,79,green,Costa Rica,90,76,70,87,61,78,https://wefut.com/player/14/15395/keylor-navas
Wilfredo Caballero,79,goldrare,Argentina,79,69,68,86,52,84,https://wefut.com/player/14/15496/wilfredo-caballero
Wojciech Szczęsny,79,goldrare,Poland,84,79,69,83,50,74,https://wefut.com/player/14/5553/wojciech-szczesny
Wilfredo Caballero,79,goldrare,Argentina,79,69,68,86,52,84,https://wefut.com/player/14/1462/wilfredo-caballero
Artur Moraes,79,goldrare,Brazil,78,80,70,78,45,84,https://wefut.com/player/14/1184/artur-moraes
Maarten Stekelenburg,79,goldrare,Netherlands,84,74,82,79,35,77,https://wefut.com/player/14/45/maarten-stekelenburg
Vincent Enyeama,79,gold,Nigeria,77,76,80,88,45,79,https://wefut.com/player/14/13274/vincent-enyeama
Kevin Trapp,79,gold,Germany,80,78,77,82,45,78,https://wefut.com/player/14/6079/kevin-trapp
Victor,79,gold,Brazil,82,77,63,85,46,76,https://wefut.com/player/14/5701/victor
Sven Ulreich,79,gold,Germany,82,77,74,83,44,76,https://wefut.com/player/14/5652/sven-ulreich
Tim Krul,79,gold,Netherlands,81,79,72,84,50,75,https://wefut.com/player/14/3620/tim-krul
Kenneth Vermeer,79,gold,Netherlands,82,76,67,85,60,75,https://wefut.com/player/14/3429/kenneth-vermeer
Stefano Sorrentino,79,gold,Italy,81,79,70,81,59,79,https://wefut.com/player/14/490/stefano-sorrentino
Brad Friedel,79,gold,United States,76,81,78,79,45,82,https://wefut.com/player/14/213/brad-friedel
Mark Schwarzer,79,gold,Australia,75,81,69,79,50,81,https://wefut.com/player/14/17/mark-schwarzer
Beto,78,worldcup,Portugal,78,75,76,81,47,77,https://wefut.com/player/14/14517/beto
Guillermo Ochoa,78,worldcup,Mexico,83,68,76,84,47,73,https://wefut.com/player/14/14515/guillermo-ochoa
Emiliano Viviano,78,worldcup,Italy,78,78,68,83,30,77,https://wefut.com/player/14/14510/emiliano-viviano
Jasper Cillessen,78,worldcup,Netherlands,79,77,80,79,54,75,https://wefut.com/player/14/14503/jasper-cillessen
Ron-Robert Zieler,78,worldcup,Germany,80,76,75,80,46,77,https://wefut.com/player/14/14499/ron-robert-zieler
Steve Mandanda,78,worldcup,France,78,75,77,80,63,74,https://wefut.com/player/14/14496/steve-mandanda
Mickaël Landreau,78,worldcup,France,77,76,82,81,32,75,https://wefut.com/player/14/14495/mickael-landreau
Ben Foster,78,worldcup,England,79,77,74,82,50,77,https://wefut.com/player/14/14488/ben-foster
Andrey Dikan,78,goldif,Ukraine,82,73,76,81,45,83,https://wefut.com/player/14/16528/andrey-dikan
Keylor Navas,78,goldif,Costa Rica,90,75,68,85,61,76,https://wefut.com/player/14/15389/keylor-navas
Marcelo Grohe,78,goldif,Brazil,80,77,69,85,43,81,https://wefut.com/player/14/14145/marcelo-grohe
Geoffrey Jourdren,78,goldif,France,84,74,76,82,47,81,https://wefut.com/player/14/13364/geoffrey-jourdren
Raphael Schäfer,78,goldif,Germany,80,78,65,82,31,77,https://wefut.com/player/14/13345/raphael-schafer
Adrián,78,goldif,Spain,75,85,64,82,46,78,https://wefut.com/player/14/12309/adrian
Andriy Pyatov,78,goldif,Ukraine,83,73,82,80,65,76,https://wefut.com/player/14/12153/andriy-pyatov
Vincent Enyeama,78,goldif,Nigeria,80,79,75,85,42,77,https://wefut.com/player/14/12099/vincent-enyeama
Robert Green,78,goldif,England,83,74,74,85,38,75,https://wefut.com/player/14/11795/robert-green
Guillermo Ochoa,78,goldrare,Mexico,84,68,76,85,47,74,https://wefut.com/player/14/16458/guillermo-ochoa
Emiliano Viviano,78,goldrare,Italy,78,78,68,83,30,77,https://wefut.com/player/14/15504/emiliano-viviano
Emiliano Viviano,78,goldrare,Italy,78,78,68,83,30,77,https://wefut.com/player/14/3359/emiliano-viviano
Guillermo Ochoa,78,goldrare,Mexico,84,68,76,85,47,74,https://wefut.com/player/14/1580/guillermo-ochoa
Brad Guzan,79,goldrare,Denmark,83,76,74,79,47,74,https://wefut.com/player/14/1157/anders-lindegaard
Oliver Baumann,78,gold,Germany,80,75,73,81,47,75,https://wefut.com/player/14/15509/oliver-baumann
Oliver Baumann,78,gold,Germany,80,75,73,81,47,75,https://wefut.com/player/14/7188/oliver-baumann
Ron-Robert Zieler,78,gold,Germany,80,76,75,79,46,77,https://wefut.com/player/14/5551/ron-robert-zieler
Roberto,78,gold,Spain,77,75,79,85,51,76,https://wefut.com/player/14/5167/roberto
Beto,78,gold,Portugal,78,75,76,81,47,77,https://wefut.com/player/14/4965/beto
Cássio,78,gold,Brazil,81,76,75,80,42,77,https://wefut.com/player/14/3345/cassio
John Ruddy,78,gold,England,79,76,74,81,43,75,https://wefut.com/player/14/2934/john-ruddy
Ben Foster,78,gold,England,79,77,74,82,50,77,https://wefut.com/player/14/2862/ben-foster
Benoît Costil,78,gold,France,78,78,75,81,46,79,https://wefut.com/player/14/2538/benoit-costil
Ali Al-Habsi,78,gold,Oman,83,73,70,83,41,75,https://wefut.com/player/14/1942/ali-al-habsi
Vyacheslav Malafeev,78,gold,Russia,79,75,74,82,56,76,https://wefut.com/player/14/1906/vyacheslav-malafeev
Marco Storari,78,gold,Italy,80,76,68,80,46,78,https://wefut.com/player/14/1334/marco-storari
Fábio,78,gold,Brazil,74,75,70,83,56,82,https://wefut.com/player/14/1171/fabio
Vladimir Gabulov,77,worldcup,Russia,78,74,77,80,61,76,https://wefut.com/player/14/14587/vladimir-gabulov
José de Jesús Corona,77,worldcup,Mexico,76,79,74,77,47,78,https://wefut.com/player/14/14579/jose-de-jesus-corona
Kenneth Vermeer,77,worldcup,Netherlands,82,67,67,85,60,74,https://wefut.com/player/14/14569/kenneth-vermeer
David Ospina,77,worldcup,Colombia,81,72,77,82,34,72,https://wefut.com/player/14/14536/david-ospina
Victor,77,worldcup,Brazil,81,76,63,82,46,74,https://wefut.com/player/14/14531/victor
Carlos Idriss Kameni,77,goldif,Cameroon,85,76,61,86,44,71,https://wefut.com/player/14/17118/carlos-idriss-kameni
Jonathan Orozco,77,goldif,Mexico,81,74,84,80,41,73,https://wefut.com/player/14/16095/jonathan-orozco
Marcelo Barovero,77,goldif,Argentina,79,77,70,80,35,78,https://wefut.com/player/14/14237/marcelo-barovero
Jeroen Zoet,77,goldif,Netherlands,80,77,77,79,57,78,https://wefut.com/player/14/12356/jeroen-zoet
Ricardo,77,goldif,Portugal,80,77,63,81,36,80,https://wefut.com/player/14/12189/ricardo
David Ospina,77,goldif,Colombia,82,73,77,85,34,75,https://wefut.com/player/14/11895/david-ospina
Anders Lindegaard,78,goldrare,Denmark,83,76,74,79,50,88,https://wefut.com/player/14/11852/dida
Gomes,77,goldrare,Brazil,82,69,64,86,50,76,https://wefut.com/player/14/15683/gomes
Gomes,77,goldrare,Brazil,82,69,64,86,50,76,https://wefut.com/player/14/1179/gomes
Mariano Andújar,77,gold,Argentina,76,77,60,78,50,79,https://wefut.com/player/14/15517/mariano-andujar
Željko Brkić,77,gold,Serbia,84,70,60,81,39,80,https://wefut.com/player/14/7416/zeljko-brkic
Rafael,77,gold,Brazil,82,73,67,83,52,77,https://wefut.com/player/14/6864/rafael
Muriel,77,gold,Brazil,80,74,70,83,33,72,https://wefut.com/player/14/5432/muriel
Felipe,77,gold,Brazil,77,72,76,80,52,77,https://wefut.com/player/14/4913/felipe
Nikolay Mihaylov,77,gold,Bulgaria,80,78,75,84,57,69,https://wefut.com/player/14/4584/nikolay-mihaylov
Piet Velthuizen,77,gold,Netherlands,76,76,69,83,57,74,https://wefut.com/player/14/4282/piet-velthuizen
Mariano Andújar,77,gold,Argentina,76,77,60,78,50,79,https://wefut.com/player/14/3984/mariano-andujar
Juan Pablo Carrizo,77,gold,Argentina,78,74,78,82,59,74,https://wefut.com/player/14/3316/juan-pablo-carrizo
Itumeleng Khune,77,gold,South Africa,78,75,84,79,32,77,https://wefut.com/player/14/3138/itumeleng-khune
José de Jesús Corona,77,gold,Mexico,76,79,74,77,47,78,https://wefut.com/player/14/2395/jose-de-jesus-corona
Jaroslav Drobný,77,gold,Czech Republic,77,74,60,84,36,77,https://wefut.com/player/14/2017/jaroslav-drobny
Vladimir Gabulov,77,gold,Russia,78,74,77,80,61,76,https://wefut.com/player/14/1889/vladimir-gabulov
Antonio Mirante,77,gold,Italy,80,79,67,81,44,74,https://wefut.com/player/14/1591/antonio-mirante
Tim Wiese,77,gold,Germany,81,74,56,85,38,72,https://wefut.com/player/14/659/tim-wiese
Yuriy Lodygin,76,worldcup,Russia,78,80,70,76,49,73,https://wefut.com/player/14/14807/yuriy-lodygin
Camilo Vargas,76,worldcup,Colombia,78,77,72,77,52,74,https://wefut.com/player/14/14801/camilo-vargas
Yann Sommer,76,worldcup,Switzerland,73,75,65,81,46,75,https://wefut.com/player/14/14651/yann-sommer
Jeroen Zoet,76,worldcup,Netherlands,77,76,77,76,57,75,https://wefut.com/player/14/14630/jeroen-zoet
Keylor Navas,76,worldcup,Costa Rica,82,68,68,83,61,74,https://wefut.com/player/14/14608/keylor-navas
Rogério Ceni,76,goldrare,Brazil,80,70,92,69,30,84,https://wefut.com/player/14/339/rogerio-ceni
Michael Agazzi,76,gold,Italy,78,76,60,84,45,74,https://wefut.com/player/14/16716/michael-agazzi
Dida,77,goldif,Brazil,79,70,74,84,50,76,https://wefut.com/player/14/15689/lukasz-fabianski
Yann Sommer,76,gold,Switzerland,73,75,65,81,46,75,https://wefut.com/player/14/15553/yann-sommer
Andrey Dikan,76,gold,Ukraine,79,70,76,78,45,80,https://wefut.com/player/14/15550/andrey-dikan
Moyá,76,gold,Spain,81,70,82,79,46,72,https://wefut.com/player/14/15549/moya
Sergio Romero,76,gold,Argentina,80,71,83,80,44,69,https://wefut.com/player/14/15481/sergio-romero
Przemysław Tytoń,76,gold,Poland,83,72,68,80,51,72,https://wefut.com/player/14/15479/przemyslaw-tyton
Michael Agazzi,76,gold,Italy,78,76,60,84,45,74,https://wefut.com/player/14/12972/michael-agazzi
Shay Given,76,gold,Republic of Ireland,75,73,72,78,44,80,https://wefut.com/player/14/12385/shay-given
Mattia Perin,76,gold,Italy,76,72,69,82,57,73,https://wefut.com/player/14/7606/mattia-perin
Adrián,76,gold,Spain,72,82,64,79,46,75,https://wefut.com/player/14/7373/adrian
Vanderlei,76,gold,Brazil,77,71,69,83,54,76,https://wefut.com/player/14/5865/vanderlei
Yann Sommer,76,gold,Switzerland,73,75,65,81,46,75,https://wefut.com/player/14/4384/yann-sommer
Casilla,76,gold,Spain,78,79,62,75,32,77,https://wefut.com/player/14/4375/casilla
Przemysław Tytoń,76,gold,Poland,83,72,68,80,51,72,https://wefut.com/player/14/4093/przemyslaw-tyton
Sergio Romero,76,gold,Argentina,80,71,83,80,44,69,https://wefut.com/player/14/3916/sergio-romero
Javi Varas,76,gold,Spain,82,71,68,83,51,72,https://wefut.com/player/14/3837/javi-varas
Marcelo Grohe,76,gold,Brazil,75,72,69,82,43,78,https://wefut.com/player/14/3346/marcelo-grohe
Łukasz Fabiański,76,gold,Poland,78,70,74,84,50,76,https://wefut.com/player/14/3080/lukasz-fabianski
Fernando Prass,76,gold,Brazil,77,71,62,74,53,82,https://wefut.com/player/14/3002/fernando-prass
Alexis Thébaux,76,gold,France,75,72,74,82,36,76,https://wefut.com/player/14/2996/alexis-thebaux
Geoffrey Jourdren,76,gold,France,81,71,76,79,47,78,https://wefut.com/player/14/2968/geoffrey-jourdren
Andrey Dikan,76,gold,Ukraine,79,70,76,78,45,80,https://wefut.com/player/14/1854/andrey-dikan
Andriy Pyatov,76,gold,Ukraine,80,70,82,77,65,73,https://wefut.com/player/14/1696/andriy-pyatov
Vincent Enyeama,76,gold,Nigeria,77,76,75,82,42,74,https://wefut.com/player/14/1555/vincent-enyeama
Kossi Agassa,76,gold,Togo,77,79,57,81,32,69,https://wefut.com/player/14/1323/kossi-agassa
Łukasz Fabiański,76,gold,Poland,78,76,60,84,45,74,https://wefut.com/player/14/1107/michael-agazzi
Michael Rensing,76,gold,Germany,79,72,68,84,42,70,https://wefut.com/player/14/1078/michael-rensing
Nicolas Douchez,76,gold,France,77,76,70,78,39,74,https://wefut.com/player/14/1028/nicolas-douchez
Moyá,76,gold,Spain,81,70,82,79,46,72,https://wefut.com/player/14/921/moya
Tom Starke,76,gold,Germany,78,75,66,80,42,75,https://wefut.com/player/14/884/tom-starke
Robert Green,76,gold,England,80,71,74,82,38,72,https://wefut.com/player/14/802/robert-green
Raphael Schäfer,76,gold,Germany,77,75,65,79,31,74,https://wefut.com/player/14/476/raphael-schafer
Timo Hildebrand,76,gold,Germany,76,77,66,77,45,77,https://wefut.com/player/14/203/timo-hildebrand
Shay Given,76,gold,Republic of Ireland,75,73,72,78,44,80,https://wefut.com/player/14/58/shay-given
Jonathan Orozco,75,worldcup,Mexico,78,71,82,77,41,70,https://wefut.com/player/14/14703/jonathan-orozco
Mariano Andújar,75,worldcup,Argentina,75,74,60,76,50,79,https://wefut.com/player/14/14660/mariano-andujar
