Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Anthony Lopes,85,goldif,Portugal,87,82,76,88,65,83,https://wefut.com/player/21/17978/anthony-lopes
Gianluigi Donnarumma,85,goldrare,Italy,89,81,76,89,49,83,https://wefut.com/player/21/275/gianluigi-donnarumma
Bernd Leno,85,goldrare,Germany,85,83,80,86,55,84,https://wefut.com/player/21/258/bernd-leno
Péter Gulácsi,85,goldrare,Hungary,84,85,82,86,43,84,https://wefut.com/player/21/250/peter-gulacsi
André Onana,84,championsleague,Cameroon,84,80,87,86,63,82,https://wefut.com/player/21/17426/andre-onana
Roman Bürki,84,championsleague,Switzerland,85,82,72,88,46,82,https://wefut.com/player/21/17405/roman-burki
Gerónimo Rulli,84,elmotm,Argentina,87,82,80,90,56,82,https://wefut.com/player/21/21439/geronimo-rulli
Mike Maignan,86,goldif,France,86,87,86,87,52,86,https://wefut.com/player/21/21223/ondrej-kolar
Jasper Cillessen,84,goldif,Netherlands,84,83,82,84,57,84,https://wefut.com/player/21/21268/jasper-cillessen
Gianluigi Buffon,84,goldif,Italy,81,80,76,82,36,93,https://wefut.com/player/21/21178/gianluigi-buffon
Yassine Bounou,84,goldif,Morocco,85,84,84,85,45,86,https://wefut.com/player/21/20625/yassine-bounou
David Soria,84,goldif,Spain,85,85,75,86,45,85,https://wefut.com/player/21/20578/david-soria
Rafał Gikiewicz,84,goldif,Poland,86,83,71,88,35,83,https://wefut.com/player/21/20577/rafal-gikiewicz
Emiliano Martínez,84,goldif,Argentina,85,86,84,86,65,85,https://wefut.com/player/21/20096/emiliano-martinez
Fernando Muslera,84,goldif,Uruguay,86,79,78,86,63,85,https://wefut.com/player/21/20029/fernando-muslera
Mattia Perin,84,goldif,Italy,85,84,74,89,60,83,https://wefut.com/player/21/20027/mattia-perin
Nick Pope,84,goldif,England,83,84,78,86,51,85,https://wefut.com/player/21/19362/nick-pope
Bartłomiej Drągowski,84,goldif,Poland,85,83,80,87,53,84,https://wefut.com/player/21/18745/bartlomiej-dragowski
Jordi Masip,84,goldif,Spain,85,85,76,87,68,83,https://wefut.com/player/21/18744/jordi-masip
Mike Maignan,84,goldif,France,83,84,84,85,49,84,https://wefut.com/player/21/18702/mike-maignan
Andrea Consigli,84,goldif,Italy,84,85,77,86,45,84,https://wefut.com/player/21/18491/andrea-consigli
Łukasz Fabiański,84,goldif,Poland,84,85,75,85,52,84,https://wefut.com/player/21/18128/lukasz-fabianski
Pacheco,84,goldif,Spain,84,81,73,86,48,85,https://wefut.com/player/21/18019/pacheco
Walter Benítez,84,goldif,Argentina,84,82,81,86,51,84,https://wefut.com/player/21/353/walter-benitez
André Onana,84,goldrare,Cameroon,84,80,87,86,63,82,https://wefut.com/player/21/346/andre-onana
Roman Bürki,84,goldrare,Switzerland,85,82,72,88,46,82,https://wefut.com/player/21/319/roman-burki
Rui Patrício,84,goldrare,Portugal,84,80,77,83,55,82,https://wefut.com/player/21/317/rui-patricio
Salvatore Sirigu,84,goldrare,Italy,84,80,76,82,50,84,https://wefut.com/player/21/314/salvatore-sirigu
Kasper Schmeichel,84,goldrare,Denmark,82,77,83,89,53,79,https://wefut.com/player/21/313/kasper-schmeichel
Thomas Strakosha,83,championsleague,Albania,86,79,75,88,43,81,https://wefut.com/player/21/17449/thomas-strakosha
Steve Mandanda,83,championsleague,France,81,81,78,84,49,81,https://wefut.com/player/21/17432/steve-mandanda
Pau López,83,goldrare,Spain,82,83,79,84,48,82,https://wefut.com/player/21/411/pau-lopez
Ondřej Kolář,84,motm,Czech Republic,84,82,87,86,63,86,https://wefut.com/player/21/21223/ondrej-kolar
Jasper Cillessen,84,goldif,Netherlands,86,79,75,88,43,81,https://wefut.com/player/21/405/thomas-strakosha
Anthony Lopes,83,goldrare,Portugal,85,80,74,86,63,80,https://wefut.com/player/21/386/anthony-lopes
Aitor,83,goldrare,Spain,84,78,74,86,56,81,https://wefut.com/player/21/381/aitor
Koen Casteels,83,goldrare,Belgium,83,80,80,84,45,83,https://wefut.com/player/21/379/koen-casteels
Lukáš Hrádecký,83,goldrare,Finland,85,78,69,87,40,83,https://wefut.com/player/21/377/lukas-hradecky
Kevin Trapp,83,goldrare,Germany,82,78,79,85,48,83,https://wefut.com/player/21/374/kevin-trapp
Steve Mandanda,83,goldrare,France,81,81,78,84,49,81,https://wefut.com/player/21/356/steve-mandanda
Mattia Perin,82,championsleague,Italy,82,82,71,87,57,79,https://wefut.com/player/21/21860/mattia-perin
Kepa,82,championsleague,Spain,81,82,85,82,34,79,https://wefut.com/player/21/17481/kepa
Tomáš Vaclík,82,championsleague,Czech Republic,82,76,76,85,36,81,https://wefut.com/player/21/17478/tomas-vaclik
Neto,82,championsleague,Brazil,84,79,78,80,54,79,https://wefut.com/player/21/17474/neto
Gianluigi Buffon,82,championsleague,Italy,77,76,74,78,34,91,https://wefut.com/player/21/17466/gianluigi-buffon
Agustín Marchesín,82,championsleague,Argentina,82,78,76,86,54,81,https://wefut.com/player/21/17476/agustin-marchesin
David Ospina,82,motm,Colombia,85,77,81,87,37,81,https://wefut.com/player/21/19569/david-ospina
José Sá,82,goldif,Portugal,84,82,68,85,48,82,https://wefut.com/player/21/21186/jose-sa
Guilherme,82,goldif,Russia,86,79,77,85,42,83,https://wefut.com/player/21/20873/guilherme
Matheus,82,goldif,Brazil,85,80,76,86,48,82,https://wefut.com/player/21/20847/matheus
Alex Meret,82,goldif,Italy,84,80,75,86,48,83,https://wefut.com/player/21/20103/alex-meret
Paul Bernardoni,82,goldif,France,82,80,78,88,33,82,https://wefut.com/player/21/18706/paul-bernardoni
Emiliano Martínez,82,goldif,Argentina,82,84,82,83,62,82,https://wefut.com/player/21/18498/emiliano-martinez
Ondřej Kolář,82,goldif,Czech Republic,81,78,85,84,61,84,https://wefut.com/player/21/18381/ondrej-kolar
Benoît Costil,82,goldif,France,81,80,80,83,52,81,https://wefut.com/player/21/18299/benoit-costil
Camilo Vargas,82,goldif,Colombia,82,80,74,85,48,80,https://wefut.com/player/21/17260/camilo-vargas
Mike Maignan,82,goldrare,France,80,80,82,83,47,82,https://wefut.com/player/21/21862/mike-maignan
Martin Dúbravka,83,goldrare,Slovakia,79,80,81,86,47,82,https://wefut.com/player/21/21859/mattia-perin
Gianluigi Buffon,82,goldrare,Italy,77,76,74,78,34,91,https://wefut.com/player/21/21858/gianluigi-buffon
Alphonse Areola,82,goldrare,France,85,79,80,84,55,78,https://wefut.com/player/21/494/alphonse-areola
Jiří Pavlenka,82,goldrare,Czech Republic,84,76,68,87,36,76,https://wefut.com/player/21/487/jiri-pavlenka
Mike Maignan,82,goldrare,France,80,80,82,83,47,82,https://wefut.com/player/21/474/mike-maignan
Gerónimo Rulli,82,goldrare,Argentina,85,78,77,88,54,78,https://wefut.com/player/21/473/geronimo-rulli
Pacheco,82,goldrare,Spain,81,79,71,84,46,83,https://wefut.com/player/21/469/pacheco
Kepa,82,goldrare,Spain,81,82,85,82,34,79,https://wefut.com/player/21/464/kepa
Tomáš Vaclík,82,goldrare,Czech Republic,82,76,76,85,36,81,https://wefut.com/player/21/461/tomas-vaclik
Nick Pope,82,goldrare,England,79,81,75,84,49,83,https://wefut.com/player/21/460/nick-pope
Mattia Perin,82,goldrare,Italy,82,82,71,87,57,79,https://wefut.com/player/21/451/mattia-perin
Neto,82,goldrare,Brazil,84,79,78,80,54,79,https://wefut.com/player/21/450/neto
Oliver Baumann,82,goldrare,Germany,81,80,79,82,49,79,https://wefut.com/player/21/449/oliver-baumann
Fernando Muslera,82,goldrare,Uruguay,84,76,75,83,61,82,https://wefut.com/player/21/440/fernando-muslera
Sergio Asenjo,82,goldrare,Spain,84,82,77,82,57,80,https://wefut.com/player/21/437/sergio-asenjo
Gianluigi Buffon,82,goldrare,Italy,77,76,74,78,34,91,https://wefut.com/player/21/431/gianluigi-buffon
David Soria,82,gold,Spain,83,81,72,84,43,81,https://wefut.com/player/21/480/david-soria
Agustín Marchesín,82,gold,Argentina,82,78,76,86,54,81,https://wefut.com/player/21/455/agustin-marchesin
Gabriel Arias,81,swap3,Chile,83,75,78,85,41,84,https://wefut.com/player/21/18355/gabriel-arias
Esteban Andrada,81,swap2,Argentina,77,79,82,83,45,82,https://wefut.com/player/21/541/esteban-andrada
Simon Mignolet,81,championsleague,Belgium,80,75,76,82,51,84,https://wefut.com/player/21/17497/simon-mignolet
Marko Dmitrović,81,championsleague,Serbia,78,80,79,82,37,81,https://wefut.com/player/21/21865/marko-dmitrovic
David Ousted,81,motm,Denmark,82,83,81,82,53,82,https://wefut.com/player/21/21433/david-ousted
Cristian Álvarez,81,goldif,Argentina,82,81,78,84,53,83,https://wefut.com/player/21/21039/cristian-alvarez
Claudio Bravo,81,goldif,Chile,83,82,88,82,60,81,https://wefut.com/player/21/20982/claudio-bravo
Stefan Ortega,81,goldif,Germany,80,78,86,84,58,81,https://wefut.com/player/21/20850/stefan-ortega
Wayne Hennessey,81,goldif,Wales,83,81,85,78,46,83,https://wefut.com/player/21/20804/wayne-hennessey
Jeroen Zoet,81,goldif,Netherlands,82,80,82,83,57,83,https://wefut.com/player/21/20634/jeroen-zoet
Jo Hyeon Woo,81,goldif,Korea Republic,81,80,65,87,57,80,https://wefut.com/player/21/20554/jo-hyeon-woo
Łukasz Skorupski,81,goldif,Poland,85,81,61,86,56,82,https://wefut.com/player/21/20455/lukasz-skorupski
Yassine Bounou,81,goldif,Morocco,81,81,80,82,41,81,https://wefut.com/player/21/19539/yassine-bounou
Florian Müller,81,goldif,Germany,81,80,77,85,47,80,https://wefut.com/player/21/19368/florian-muller
Alexandre Oukidja,81,goldif,Algeria,82,79,71,86,52,81,https://wefut.com/player/21/18830/alexandre-oukidja
Robin Zentner,81,goldif,Germany,83,80,70,85,71,81,https://wefut.com/player/21/18828/robin-zentner
Emil Audero,81,goldif,Italy,84,78,78,84,57,80,https://wefut.com/player/21/18799/emil-audero
Sinan Bolat,81,goldif,Turkey,78,84,85,82,50,81,https://wefut.com/player/21/18680/sinan-bolat
Bartłomiej Drągowski,81,goldif,Poland,82,79,76,84,50,80,https://wefut.com/player/21/17987/bartlomiej-dragowski
Sergio Herrera,81,goldif,Spain,82,81,78,82,52,80,https://wefut.com/player/21/17839/sergio-herrera
Rafał Gikiewicz,81,goldif,Poland,82,78,68,84,32,79,https://wefut.com/player/21/16275/rafal-gikiewicz
Esteban Andrada,81,goldrare,Argentina,77,79,82,83,45,82,https://wefut.com/player/21/21863/esteban-andrada
Walter Benítez,81,goldrare,Argentina,80,79,77,83,48,80,https://wefut.com/player/21/551/walter-benitez
Odisseas Vlachodimos,81,goldrare,Greece,84,76,67,86,43,77,https://wefut.com/player/21/549/odisseas-vlachodimos
Alessio Cragno,81,goldrare,Italy,84,78,69,88,39,76,https://wefut.com/player/21/539/alessio-cragno
Jordan Pickford,81,goldrare,England,81,77,87,85,49,77,https://wefut.com/player/21/536/jordan-pickford
Jordi Masip,81,goldrare,Spain,82,82,72,84,65,77,https://wefut.com/player/21/521/jordi-masip
Simon Mignolet,81,goldrare,Belgium,80,75,76,82,51,84,https://wefut.com/player/21/504/simon-mignolet
Łukasz Fabiański,81,goldrare,Poland,80,82,70,82,49,81,https://wefut.com/player/21/501/lukasz-fabianski
Marko Dmitrović,81,gold,Serbia,78,80,79,82,37,81,https://wefut.com/player/21/21864/marko-dmitrovic
Marko Dmitrović,81,gold,Serbia,78,80,79,82,37,81,https://wefut.com/player/21/567/marko-dmitrovic
Jonas Omlin,81,goldif,Switzerland,82,80,79,83,54,81,https://wefut.com/player/21/20919/jonas-omlin
Stefan Ortega,81,goldif,Germany,80,78,86,84,58,81,https://wefut.com/player/21/20850/stefan-ortega
Franco Armani,80,swap2,Argentina,78,76,67,86,43,81,https://wefut.com/player/21/672/franco-armani
Dean Henderson,80,championsleague,England,80,80,70,83,50,77,https://wefut.com/player/21/17572/dean-henderson
Sergio Romero,80,championsleague,Argentina,78,76,81,83,46,79,https://wefut.com/player/21/17536/sergio-romero
Michael Esser,80,goldif,Germany,80,80,70,84,44,77,https://wefut.com/player/21/18384/michael-esser
Adán,80,goldrare,Spain,77,80,78,80,55,79,https://wefut.com/player/21/20515/adan
Dean Henderson,80,goldrare,England,80,80,70,83,50,77,https://wefut.com/player/21/702/dean-henderson
Unai Simón,80,goldrare,Spain,81,77,68,80,47,83,https://wefut.com/player/21/695/unai-simon
Álex Remiro,80,goldrare,Spain,83,72,78,81,42,81,https://wefut.com/player/21/689/alex-remiro
Juan Musso,80,goldrare,Argentina,82,77,74,84,44,80,https://wefut.com/player/21/673/juan-musso
Benjamin Lecomte,80,goldrare,France,80,78,77,81,42,80,https://wefut.com/player/21/642/benjamin-lecomte
Guaita,80,goldrare,Spain,81,80,77,82,51,78,https://wefut.com/player/21/619/guaita
Sergio Romero,80,goldrare,Argentina,78,76,81,83,46,79,https://wefut.com/player/21/605/sergio-romero
Mathew Ryan,80,gold,Australia,81,75,82,82,53,78,https://wefut.com/player/21/19581/mathew-ryan
Dominik Livaković,80,gold,Croatia,80,78,74,82,56,79,https://wefut.com/player/21/709/dominik-livakovic
Mathew Ryan,80,gold,Australia,81,75,82,82,53,78,https://wefut.com/player/21/637/mathew-ryan
Igor Akinfeev,80,gold,Russia,77,72,78,84,51,82,https://wefut.com/player/21/595/igor-akinfeev
Édouard Mendy,79,championsleague,Senegal,80,77,75,79,35,79,https://wefut.com/player/21/17630/edouard-mendy
Pierluigi Gollini,79,championsleague,Italy,81,75,69,81,47,79,https://wefut.com/player/21/17605/pierluigi-gollini
Sven Ulreich,79,championsleague,Germany,79,71,68,84,41,79,https://wefut.com/player/21/17586/sven-ulreich
Pepe Reina,79,championsleague,Spain,77,79,80,78,45,80,https://wefut.com/player/21/17580/pepe-reina
David Marshall,79,purple,Scotland,78,76,73,80,56,80,https://wefut.com/player/21/18182/david-marshall
Lorenzo Montipò,79,goldif,Italy,80,79,76,83,48,78,https://wefut.com/player/21/20638/lorenzo-montipo
Jasper Cillessen,81,gold,Netherlands,81,80,77,79,54,80,https://wefut.com/player/21/522/jasper-cillessen
Stéphane Ruffier,81,gold,France,80,81,74,81,47,82,https://wefut.com/player/21/502/stephane-ruffier
Andrea Consigli,81,gold,Italy,81,82,72,83,42,80,https://wefut.com/player/21/500/andrea-consigli
Franco Armani,80,swap2,Argentina,78,76,67,86,43,81,https://wefut.com/player/21/672/franco-armani
Dean Henderson,80,championsleague,England,80,80,70,83,50,77,https://wefut.com/player/21/17572/dean-henderson
Predrag Rajković,79,gold,Serbia,78,77,74,81,25,79,https://wefut.com/player/21/872/predrag-rajkovic
Pierluigi Gollini,79,gold,Italy,81,75,69,81,47,79,https://wefut.com/player/21/803/pierluigi-gollini
Rui Silva,79,gold,Portugal,78,74,75,84,31,80,https://wefut.com/player/21/795/rui-silva
Matheus,79,gold,Brazil,82,75,72,83,45,77,https://wefut.com/player/21/788/matheus
Alexander Schwolow,79,gold,Germany,78,76,71,81,37,78,https://wefut.com/player/21/776/alexander-schwolow
Marco Bizot,79,gold,Netherlands,82,76,67,79,46,76,https://wefut.com/player/21/767/marco-bizot
Matz Sels,79,gold,Belgium,81,76,76,80,36,79,https://wefut.com/player/21/765/matz-sels
Sven Ulreich,79,gold,Germany,79,71,68,84,41,79,https://wefut.com/player/21/742/sven-ulreich
Nahuel Guzmán,79,gold,Argentina,78,77,72,79,51,81,https://wefut.com/player/21/724/nahuel-guzman
Ben Foster,79,gold,England,80,77,73,80,49,79,https://wefut.com/player/21/716/ben-foster
Benoît Costil,79,gold,France,78,77,77,80,49,78,https://wefut.com/player/21/715/benoit-costil
Guillermo Ochoa,79,gold,Mexico,77,69,75,83,48,79,https://wefut.com/player/21/713/guillermo-ochoa
Pepe Reina,79,gold,Spain,77,79,80,78,45,80,https://wefut.com/player/21/712/pepe-reina
Tom Heaton,78,championsleague,England,78,77,74,79,56,78,https://wefut.com/player/21/21887/tom-heaton
José Sá,78,championsleague,Portugal,79,76,64,80,44,76,https://wefut.com/player/21/17651/jose-sa
Marwin Hitz,78,championsleague,Switzerland,79,77,63,80,43,79,https://wefut.com/player/21/17638/marwin-hitz
Guilherme,78,championsleague,Russia,82,73,72,80,38,78,https://wefut.com/player/21/17636/guilherme
Loris Karius,78,championsleague,Germany,82,72,78,81,55,76,https://wefut.com/player/21/16783/loris-karius
Andreas Linde,78,elmotm,Sweden,80,77,73,81,55,77,https://wefut.com/player/21/20376/andreas-linde
Carlos Acevedo,79,goldif,Mexico,80,78,76,81,28,79,https://wefut.com/player/21/18831/carlos-acevedo
Herrerín,78,goldrare,Spain,80,78,83,74,44,77,https://wefut.com/player/21/927/herrerin
Tom Heaton,78,gold,England,78,77,74,79,56,78,https://wefut.com/player/21/21885/tom-heaton
Loris Karius,78,gold,Germany,82,72,78,81,55,76,https://wefut.com/player/21/16789/loris-karius
Robin Olsen,78,gold,Sweden,78,77,76,78,35,78,https://wefut.com/player/21/16784/robin-olsen
Emiliano Martínez,78,gold,Argentina,78,80,78,77,58,77,https://wefut.com/player/21/1092/emiliano-martinez
Ciprian Tătărușanu,78,gold,Romania,79,76,75,80,45,77,https://wefut.com/player/21/1091/ciprian-tatarusanu
Ondřej Kolář,78,gold,Czech Republic,75,73,81,80,57,79,https://wefut.com/player/21/1077/ondrej-kolar
Luís Maximiano,78,gold,Portugal,79,76,65,79,55,76,https://wefut.com/player/21/1076/luis-maximiano
Alban Lafont,78,gold,France,79,76,70,82,47,75,https://wefut.com/player/21/1054/alban-lafont
Alex Meret,78,gold,Italy,79,74,70,82,44,77,https://wefut.com/player/21/1035/alex-meret
Paul Bernardoni,78,gold,France,78,74,73,84,29,77,https://wefut.com/player/21/1032/paul-bernardoni
José Sá,78,gold,Portugal,79,76,64,80,44,76,https://wefut.com/player/21/1002/jose-sa
Camilo Vargas,78,gold,Colombia,77,74,69,81,44,76,https://wefut.com/player/21/996/camilo-vargas
