Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
David Silva,93,LM,goldblue,Spain,85,86,92,94,52,86,https://wefut.com/player/14/14014/vincent-kompany
Ángel Di María,91,CM,motm,Argentina,92,87,90,91,62,70,https://wefut.com/player/14/14202/angel-di-maria
Robin van Persie,91,ST,motm,Netherlands,78,93,84,88,51,75,https://wefut.com/player/14/13487/robin-van-persie
Iniesta,91,CM,green,Spain,77,76,95,95,68,59,https://wefut.com/player/14/15375/iniesta
Arjen Robben,91,ST,green,Netherlands,93,91,86,94,52,64,https://wefut.com/player/14/15338/arjen-robben
Dani Alves,91,RB,toty,Brazil,95,78,88,91,86,80,https://wefut.com/player/14/12308/dani-alves
Luis Suárez,91,ST,goldif,Uruguay,85,94,82,94,60,82,https://wefut.com/player/14/13497/luis-suarez
Eden Hazard,91,LM,goldif,Belgium,92,92,91,93,52,66,https://wefut.com/player/14/13242/eden-hazard
Zlatan Ibrahimović,91,ST,goldif,Sweden,78,93,84,91,56,83,https://wefut.com/player/14/12217/zlatan-ibrahimovic
Franck Ribéry,91,LM,goldif,France,91,83,86,94,49,57,https://wefut.com/player/14/12214/franck-ribery
Robin van Persie,90,ST,worldcup,Netherlands,76,89,82,86,49,71,https://wefut.com/player/14/14261/robin-van-persie
Ruud Gullit,90,CM,legend,Netherlands,86,85,88,86,81,84,https://wefut.com/player/14/12094/ruud-gullit
Luís Figo,90,RW,legend,Portugal,83,80,87,91,52,66,https://wefut.com/player/14/12093/luis-figo
Dennis Bergkamp,90,CF,legend,Netherlands,83,88,83,87,49,64,https://wefut.com/player/14/12092/dennis-bergkamp
Romário,90,ST,legend,Brazil,91,86,66,89,52,69,https://wefut.com/player/14/12091/romario
Ruud van Nistelrooy,90,ST,legend,Netherlands,84,86,65,75,50,84,https://wefut.com/player/14/12090/ruud-van-nistelrooy
Hulk,90,RM,goldblue,Brazil,91,92,90,90,65,81,https://wefut.com/player/14/14185/hulk
Diego Costa,90,ST,goldblue,Spain,89,92,69,88,63,88,https://wefut.com/player/14/14173/diego-costa
Luka Modrić,90,CM,goldblue,Croatia,80,80,92,91,75,70,https://wefut.com/player/14/14170/luka-modric
Medhi Benatia,90,CB,goldblue,Morocco,79,50,71,70,94,92,https://wefut.com/player/14/14119/medhi-benatia
Marco Reus,90,LM,goldblue,Germany,94,94,88,93,52,68,https://wefut.com/player/14/14065/marco-reus
Gareth Bale,90,LW,motm,Wales,95,92,88,90,77,79,https://wefut.com/player/14/13895/gareth-bale
Neymar,90,LW,green,Brazil,95,93,86,97,47,64,https://wefut.com/player/14/15464/neymar
Bastian Schweinsteiger,90,CM,green,Germany,65,85,92,88,82,77,https://wefut.com/player/14/15462/bastian-schweinsteiger
Thiago Silva,90,CB,green,Brazil,83,65,78,75,92,88,https://wefut.com/player/14/15460/thiago-silva
Thomas Müller,90,RM,goldif,Germany,87,95,91,90,59,83,https://wefut.com/player/14/17180/thomas-muller
Philipp Lahm,90,RB,goldif,Germany,82,61,90,86,88,71,https://wefut.com/player/14/15434/philipp-lahm
Iniesta,90,LW,goldif,Spain,76,74,93,93,67,57,https://wefut.com/player/14/13498/iniesta
Arjen Robben,90,RM,goldif,Netherlands,93,89,84,93,50,62,https://wefut.com/player/14/13368/arjen-robben
Eden Hazard,90,LM,goldif,Belgium,91,88,90,93,51,65,https://wefut.com/player/14/12268/eden-hazard
Luis Suárez,90,ST,goldif,Uruguay,84,92,79,93,59,81,https://wefut.com/player/14/12215/luis-suarez
Sergio Agüero,90,ST,goldif,Argentina,90,90,79,91,46,75,https://wefut.com/player/14/12107/sergio-aguero
Zlatan Ibrahimović,90,ST,goldif,Sweden,77,92,80,90,55,81,https://wefut.com/player/14/11905/zlatan-ibrahimovic
Robin van Persie,90,ST,goldif,Netherlands,77,91,83,86,50,74,https://wefut.com/player/14/11887/robin-van-persie
Falcao,90,ST,goldrare,Colombia,78,86,61,81,54,89,https://wefut.com/player/14/17156/falcao
Falcao,90,ST,goldrare,Colombia,78,86,61,81,54,89,https://wefut.com/player/14/3274/falcao
Franck Ribéry,90,LM,goldrare,France,91,78,82,93,47,55,https://wefut.com/player/14/2417/franck-ribery
Iniesta,89,CM,worldcup,Spain,75,72,91,91,66,55,https://wefut.com/player/14/14260/iniesta
Arjen Robben,89,RW,worldcup,Netherlands,92,85,80,92,47,56,https://wefut.com/player/14/14259/arjen-robben
Falcao,89,ST,worldcup,Colombia,78,85,61,81,54,89,https://wefut.com/player/14/14217/falcao
George Weah,89,ST,legend,Liberia,93,86,71,85,59,85,https://wefut.com/player/14/12089/george-weah
Marcel Desailly,89,CB,legend,France,82,52,65,65,88,88,https://wefut.com/player/14/12088/marcel-desailly
Fernando Hierro,89,CB,legend,Spain,70,68,76,72,87,81,https://wefut.com/player/14/12086/fernando-hierro
Gheorghe Hagi,89,CAM,legend,Romania,84,85,88,86,54,62,https://wefut.com/player/14/12085/gheorghe-hagi
Pavel Nedved,89,LM,legend,Czech Republic,83,83,85,87,58,62,https://wefut.com/player/14/12084/pavel-nedved
Fabio Cannavaro,89,CB,legend,Italy,74,42,61,62,89,90,https://wefut.com/player/14/12083/fabio-cannavaro
Gary Lineker,89,ST,legend,England,86,82,69,79,50,80,https://wefut.com/player/14/12082/gary-lineker
Diego Godín,89,CB,goldblue,Uruguay,71,59,75,67,92,90,https://wefut.com/player/14/14166/diego-godin
Toni Kroos,89,CM,goldblue,Germany,62,88,92,89,68,63,https://wefut.com/player/14/14066/toni-kroos
Miroslav Klose,90,ST,special,Germany,90,93,78,94,62,99,https://wefut.com/player/14/14013/john-terry
Thomas Müller,89,ST,green,Germany,86,93,90,89,58,82,https://wefut.com/player/14/15474/thomas-muller
James Rodríguez,89,CAM,green,Colombia,85,92,95,94,62,75,https://wefut.com/player/14/15465/james-rodriguez
Mats Hummels,89,CB,green,Germany,69,67,83,73,94,95,https://wefut.com/player/14/15459/mats-hummels
Neymar,89,LW,green,Brazil,94,89,84,95,46,63,https://wefut.com/player/14/15376/neymar
Robert Lewandowski,89,ST,goldif,Poland,85,90,74,89,57,88,https://wefut.com/player/14/17182/robert-lewandowski
Ángel Di María,89,RW,goldif,Argentina,91,85,89,90,61,65,https://wefut.com/player/14/17176/angel-di-maria
Cesc Fàbregas,89,CDM,goldif,Spain,71,85,95,88,70,75,https://wefut.com/player/14/17073/cesc-fabregas
Thiago Silva,89,CB,goldif,Brazil,82,64,77,73,91,87,https://wefut.com/player/14/15436/thiago-silva
Gareth Bale,89,RM,goldif,Wales,94,90,87,88,76,78,https://wefut.com/player/14/13510/gareth-bale
David Silva,89,LM,goldif,Spain,79,80,88,91,48,61,https://wefut.com/player/14/13476/david-silva
Bastian Schweinsteiger,89,CDM,goldif,Germany,64,82,89,85,81,76,https://wefut.com/player/14/13475/bastian-schweinsteiger
Arjen Robben,89,RM,goldif,Netherlands,92,87,82,93,49,61,https://wefut.com/player/14/12197/arjen-robben
Philipp Lahm,89,CDM,goldif,Germany,81,60,89,85,87,70,https://wefut.com/player/14/12178/philipp-lahm
Luis Suárez,89,ST,goldif,Uruguay,83,89,77,92,58,78,https://wefut.com/player/14/11922/luis-suarez
Eden Hazard,89,LM,goldif,Belgium,90,85,88,92,50,64,https://wefut.com/player/14/11902/eden-hazard
Sergio Agüero,89,ST,goldif,Argentina,89,88,74,91,45,74,https://wefut.com/player/14/11792/sergio-aguero
Zlatan Ibrahimović,89,ST,goldrare,Sweden,76,89,79,88,53,79,https://wefut.com/player/14/11802/zlatan-ibrahimovic
Xavi,89,CM,goldrare,Spain,66,73,92,86,68,54,https://wefut.com/player/14/179/xavi
Robin van Persie,89,ST,goldrare,Netherlands,76,89,82,84,49,69,https://wefut.com/player/14/144/robin-van-persie
Iniesta,89,CM,goldrare,Spain,75,72,91,91,66,55,https://wefut.com/player/14/6/iniesta
Xavi,88,CM,worldcup,Spain,66,73,91,85,67,54,https://wefut.com/player/14/14258/xavi
Sergio Agüero,88,ST,worldcup,Argentina,88,84,74,90,44,72,https://wefut.com/player/14/14257/sergio-aguero
Franck Ribéry,88,LM,worldcup,France,90,78,82,89,47,50,https://wefut.com/player/14/14256/franck-ribery
Luis Suárez,88,ST,worldcup,Uruguay,82,84,75,90,56,73,https://wefut.com/player/14/14255/luis-suarez
Patrick Vieira,88,CM,legend,France,84,68,79,83,88,83,https://wefut.com/player/14/12081/patrick-vieira
Davor Suker,88,ST,legend,Croatia,81,83,79,86,70,83,https://wefut.com/player/14/12078/davor-suker
Frank Rijkaard,88,CB,legend,Netherlands,70,66,78,67,87,82,https://wefut.com/player/14/12077/frank-rijkaard
Patrick Kluivert,88,ST,legend,Netherlands,86,84,79,82,55,87,https://wefut.com/player/14/12076/patrick-kluivert
Rui Costa,88,CAM,legend,Portugal,84,82,86,86,59,64,https://wefut.com/player/14/12075/rui-costa
Andriy Shevchenko,88,ST,legend,Ukraine,84,87,67,84,49,79,https://wefut.com/player/14/12074/andriy-shevchenko
Robert Pires,88,RM,legend,France,86,79,86,86,49,60,https://wefut.com/player/14/12073/robert-pires
Michael Owen,88,ST,legend,England,89,81,63,85,42,74,https://wefut.com/player/14/12072/michael-owen
Jermain Defoe,88,ST,goldblue,England,89,94,69,87,48,77,https://wefut.com/player/14/16567/jermain-defoe
Ezequiel Garay,88,CB,goldblue,Argentina,60,71,80,72,92,91,https://wefut.com/player/14/14186/ezequiel-garay
Ivan Rakitić,88,CM,goldblue,Croatia,75,91,93,89,67,61,https://wefut.com/player/14/14176/ivan-rakitic
Pepe,88,CB,goldblue,Portugal,79,59,68,64,90,87,https://wefut.com/player/14/14175/pepe
Mario Mandžukić,88,ST,goldblue,Croatia,81,85,68,82,56,92,https://wefut.com/player/14/14064/mario-mandzukic
Leighton Baines,88,LB,goldblue,England,84,83,86,84,88,80,https://wefut.com/player/14/14011/leighton-baines
Steven Gerrard,88,CDM,goldblue,England,73,92,92,85,81,82,https://wefut.com/player/14/14009/steven-gerrard
Danny,88,LW,goldblue,Portugal,90,81,87,91,50,56,https://wefut.com/player/14/13906/danny
Daniele De Rossi,88,CDM,goldblue,Italy,73,79,86,83,88,89,https://wefut.com/player/14/13903/daniele-de-rossi
Edinson Cavani,88,ST,motm,Uruguay,84,88,69,82,57,86,https://wefut.com/player/14/13896/edinson-cavani
Mats Hummels,88,CB,green,Germany,68,66,81,72,92,93,https://wefut.com/player/14/15401/mats-hummels
James Rodríguez,88,CAM,green,Colombia,84,90,94,93,61,74,https://wefut.com/player/14/15392/james-rodriguez
Neymar,88,CAM,green,Brazil,93,85,81,94,45,61,https://wefut.com/player/14/15337/neymar
Antonio Di Natale,88,ST,goldif,Italy,89,94,84,92,49,66,https://wefut.com/player/14/17137/antonio-di-natale
Wesley Sneijder,88,CAM,goldif,Netherlands,76,90,93,89,65,58,https://wefut.com/player/14/15432/wesley-sneijder
Thomas Müller,88,ST,goldif,Germany,85,90,87,87,57,80,https://wefut.com/player/14/15431/thomas-muller
Karim Benzema,88,LW,goldif,France,87,90,83,87,50,80,https://wefut.com/player/14/15369/karim-benzema
Juan Mata,88,CAM,goldif,Spain,79,80,85,89,47,65,https://wefut.com/player/14/13863/juan-mata
Carlos Tévez,88,ST,goldif,Argentina,83,91,82,88,59,74,https://wefut.com/player/14/13374/carlos-tevez
Thiago Silva,88,CB,goldif,Brazil,81,62,75,72,89,85,https://wefut.com/player/14/13366/thiago-silva
Cesc Fàbregas,88,CM,goldif,Spain,70,84,93,87,69,74,https://wefut.com/player/14/13334/cesc-fabregas
Gareth Bale,88,RM,goldif,Wales,93,87,85,86,75,77,https://wefut.com/player/14/12195/gareth-bale
Robert Lewandowski,88,ST,goldif,Poland,84,87,72,87,55,85,https://wefut.com/player/14/12116/robert-lewandowski
Mesut Özil,88,CAM,goldif,Germany,77,77,87,89,45,58,https://wefut.com/player/14/11903/mesut-ozil
Philipp Lahm,88,RB,goldif,Germany,80,58,87,83,85,68,https://wefut.com/player/14/11878/philipp-lahm
Eden Hazard,88,LM,goldrare,Belgium,89,82,85,90,49,63,https://wefut.com/player/14/13382/eden-hazard
Luis Suárez,88,ST,goldrare,Uruguay,82,85,76,91,57,75,https://wefut.com/player/14/13256/luis-suarez
David Silva,88,CAM,goldrare,Spain,78,78,86,89,46,59,https://wefut.com/player/14/3370/david-silva
Sergio Agüero,88,ST,goldrare,Argentina,88,84,73,90,44,72,https://wefut.com/player/14/2222/sergio-aguero
Bastian Schweinsteiger,88,CM,goldrare,Germany,63,81,86,83,80,74,https://wefut.com/player/14/1081/bastian-schweinsteiger
Arjen Robben,88,RM,goldrare,Netherlands,92,85,80,92,47,58,https://wefut.com/player/14/164/arjen-robben
Philipp Lahm,87,RB,worldcup,Germany,79,58,86,82,83,66,https://wefut.com/player/14/14264/philipp-lahm
Bastian Schweinsteiger,87,CM,worldcup,Germany,63,81,86,82,80,74,https://wefut.com/player/14/14236/bastian-schweinsteiger
Wayne Rooney,87,CF,worldcup,England,77,87,83,83,59,81,https://wefut.com/player/14/14234/wayne-rooney
Thiago Silva,87,CB,worldcup,Brazil,80,61,74,72,87,83,https://wefut.com/player/14/14233/thiago-silva
Mesut Özil,87,CAM,worldcup,Germany,78,75,86,89,45,55,https://wefut.com/player/14/14232/mesut-ozil
Edinson Cavani,87,ST,worldcup,Uruguay,83,84,66,81,56,84,https://wefut.com/player/14/14231/edinson-cavani
Neymar,87,LW,worldcup,Brazil,92,81,77,93,43,58,https://wefut.com/player/14/14228/neymar
David Silva,87,RW,worldcup,Spain,78,78,86,89,46,59,https://wefut.com/player/14/14227/david-silva
Henrik Larsson,87,ST,legend,Sweden,84,82,69,84,53,78,https://wefut.com/player/14/12071/henrik-larsson
Ángel Di María,88,CM,goldif,Argentina,91,83,88,90,60,63,https://wefut.com/player/14/15388/angel-di-maria
Karim Benzema,88,CF,legend,Italy,84,82,85,90,47,57,https://wefut.com/player/14/12069/gianfranco-zola
Pauleta,87,ST,legend,Portugal,82,85,67,78,48,84,https://wefut.com/player/14/12068/pauleta
Hernán Crespo,87,ST,legend,Argentina,87,83,64,79,44,84,https://wefut.com/player/14/12067/hernan-crespo
Paulo Futre,87,LW,legend,Portugal,84,80,79,93,40,64,https://wefut.com/player/14/12066/paulo-futre
Oliver Bierhoff,87,ST,legend,Germany,76,79,61,73,47,89,https://wefut.com/player/14/12065/oliver-bierhoff
Filippo Inzaghi,87,ST,legend,Italy,85,74,48,75,44,74,https://wefut.com/player/14/12064/filippo-inzaghi
Clint Dempsey,87,CAM,goldblue,United States,80,92,84,88,58,88,https://wefut.com/player/14/16551/clint-dempsey
Antoine Griezmann,87,LW,goldblue,France,90,89,84,91,50,72,https://wefut.com/player/14/14178/antoine-griezmann
Koke,87,RM,goldblue,Spain,80,84,92,90,69,72,https://wefut.com/player/14/14177/koke
Filipe Luís,87,LB,goldblue,Brazil,88,70,86,85,88,73,https://wefut.com/player/14/14167/filipe-luis
Paul Pogba,87,CM,goldblue,France,80,88,90,92,83,89,https://wefut.com/player/14/14124/paul-pogba
Juan Cuadrado,87,RM,goldblue,Colombia,96,83,87,93,67,66,https://wefut.com/player/14/14122/juan-cuadrado
Antonio Candreva,87,RW,goldblue,Italy,88,84,88,89,70,68,https://wefut.com/player/14/14117/antonio-candreva
Blaise Matuidi,87,CDM,goldblue,France,83,74,86,86,90,86,https://wefut.com/player/14/14105/blaise-matuidi
Jérémy Toulalan,87,CDM,goldblue,France,57,60,85,77,86,81,https://wefut.com/player/14/14103/jeremy-toulalan
David Alaba,87,LB,goldblue,Austria,89,78,92,88,89,78,https://wefut.com/player/14/14068/david-alaba
Per Mertesacker,87,CB,goldblue,Germany,40,50,67,52,93,88,https://wefut.com/player/14/14012/per-mertesacker
Daniel Sturridge,87,ST,goldblue,England,93,89,74,90,51,79,https://wefut.com/player/14/14005/daniel-sturridge
Wesley Sneijder,87,CAM,motm,Netherlands,75,88,91,88,64,57,https://wefut.com/player/14/14078/wesley-sneijder
Sergio Ramos,87,CB,motm,Spain,81,65,77,75,87,90,https://wefut.com/player/14/13986/sergio-ramos
Toni Kroos,87,CM,green,Germany,60,87,92,88,67,61,https://wefut.com/player/14/15461/toni-kroos
Mario Götze,87,ST,green,Germany,84,83,86,93,53,65,https://wefut.com/player/14/15438/mario-gotze
Gonzalo Higuaín,87,ST,green,Argentina,81,91,70,82,48,80,https://wefut.com/player/14/15403/gonzalo-higuain
Thomas Müller,87,ST,green,Germany,84,88,85,85,56,79,https://wefut.com/player/14/15346/thomas-muller
Cristian Vieri,87,ST,legend,Italy,83,82,69,79,48,79,https://wefut.com/player/14/15344/karim-benzema
Diego Costa,87,ST,goldif,Spain,86,89,66,85,60,84,https://wefut.com/player/14/17138/diego-costa
James Rodríguez,87,CAM,goldif,Colombia,83,88,93,92,60,70,https://wefut.com/player/14/15356/james-rodriguez
Andrea Pirlo,87,CM,goldif,Italy,59,79,93,84,68,54,https://wefut.com/player/14/15353/andrea-pirlo
Mats Hummels,87,CB,goldif,Germany,67,64,79,71,90,91,https://wefut.com/player/14/15351/mats-hummels
Antonio Di Natale,87,ST,goldif,Italy,88,92,83,91,47,64,https://wefut.com/player/14/14154/antonio-di-natale
Samir Nasri,87,RM,goldif,France,84,85,88,91,55,65,https://wefut.com/player/14/14084/samir-nasri
Marco Reus,87,LM,goldif,Germany,93,90,84,89,49,64,https://wefut.com/player/14/13513/marco-reus
Yaya Touré,87,CDM,goldif,Ivory Coast,78,79,82,80,85,85,https://wefut.com/player/14/13492/yaya-toure
Ezequiel Lavezzi,87,LW,goldif,Argentina,90,85,77,91,51,64,https://wefut.com/player/14/13409/ezequiel-lavezzi
Giorgio Chiellini,87,CB,goldif,Italy,78,57,67,59,89,84,https://wefut.com/player/14/12944/giorgio-chiellini
Piqué,87,CB,goldif,Spain,63,55,77,68,89,83,https://wefut.com/player/14/12347/pique
Arturo Vidal,87,CM,goldif,Chile,81,83,86,85,84,73,https://wefut.com/player/14/12331/arturo-vidal
Pedro,87,LW,goldif,Spain,86,86,84,88,52,61,https://wefut.com/player/14/12253/pedro
Ángel Di María,87,RM,goldif,Argentina,90,81,86,88,59,61,https://wefut.com/player/14/12248/angel-di-maria
Carlos Tévez,87,ST,goldif,Argentina,82,90,80,86,58,73,https://wefut.com/player/14/12235/carlos-tevez
Cesc Fàbregas,87,CM,goldif,Spain,69,82,91,84,67,73,https://wefut.com/player/14/12141/cesc-fabregas
Robert Lewandowski,87,ST,goldif,Poland,83,83,70,86,54,84,https://wefut.com/player/14/11850/robert-lewandowski
Nemanja Vidić,87,CB,goldrare,Serbia,53,41,58,51,86,90,https://wefut.com/player/14/15482/nemanja-vidic
Juan Mata,87,CAM,goldrare,Spain,78,76,83,87,45,64,https://wefut.com/player/14/12363/juan-mata
Edinson Cavani,87,ST,goldrare,Uruguay,83,84,66,80,56,84,https://wefut.com/player/14/4659/edinson-cavani
Juan Mata,87,CAM,goldrare,Spain,78,76,83,87,45,64,https://wefut.com/player/14/4462/juan-mata
Mesut Özil,87,CAM,goldrare,Germany,76,74,85,87,44,55,https://wefut.com/player/14/4183/mesut-ozil
Gareth Bale,87,CF,goldrare,Wales,93,84,82,84,74,74,https://wefut.com/player/14/3967/gareth-bale
Thiago Silva,87,CB,goldrare,Brazil,80,61,73,71,87,83,https://wefut.com/player/14/3016/thiago-silva
Philipp Lahm,87,RB,goldrare,Germany,79,57,84,81,82,66,https://wefut.com/player/14/1079/philipp-lahm
Wayne Rooney,87,CF,goldrare,England,76,87,83,83,59,81,https://wefut.com/player/14/760/wayne-rooney
Vincent Kompany,86,CB,worldcup,Belgium,75,59,75,75,86,82,https://wefut.com/player/14/14230/vincent-kompany
Yaya Touré,86,CM,worldcup,Ivory Coast,77,78,80,80,83,84,https://wefut.com/player/14/14229/yaya-toure
Sergio Ramos,86,CB,worldcup,Spain,80,61,74,72,83,87,https://wefut.com/player/14/14225/sergio-ramos
Cesc Fàbregas,86,CM,worldcup,Spain,68,79,90,82,66,70,https://wefut.com/player/14/14224/cesc-fabregas
Thomas Müller,86,RM,worldcup,Germany,83,81,82,80,53,74,https://wefut.com/player/14/14223/thomas-muller
Piqué,86,CB,worldcup,Spain,62,52,76,67,86,81,https://wefut.com/player/14/14220/pique
Eden Hazard,86,LM,worldcup,Belgium,87,80,84,90,48,59,https://wefut.com/player/14/14219/eden-hazard
Arturo Vidal,86,CM,worldcup,Chile,79,79,82,82,82,70,https://wefut.com/player/14/14216/arturo-vidal
Stefan Effenberg,86,CAM,legend,Germany,74,81,83,80,79,78,https://wefut.com/player/14/12063/stefan-effenberg
Robbie Fowler,86,ST,legend,England,83,81,69,83,60,83,https://wefut.com/player/14/12062/robbie-fowler
Frank de Boer,86,CB,legend,Netherlands,66,57,67,61,87,77,https://wefut.com/player/14/12061/frank-de-boer
Gary Neville,86,RB,legend,England,80,39,78,53,84,74,https://wefut.com/player/14/12060/gary-neville
Freddie Ljungberg,86,RM,legend,Sweden,85,78,80,83,53,64,https://wefut.com/player/14/12059/freddie-ljungberg
Teddy Sheringham,86,ST,legend,England,78,84,71,73,52,84,https://wefut.com/player/14/12058/teddy-sheringham
Sol Campbell,86,CB,legend,England,78,33,62,46,85,89,https://wefut.com/player/14/12057/sol-campbell
Dušan Tadić,86,CAM,goldblue,Serbia,80,87,91,90,55,70,https://wefut.com/player/14/14183/dusan-tadic
Aaron Ramsey,86,CDM,goldblue,Wales,78,89,89,89,79,72,https://wefut.com/player/14/14010/aaron-ramsey
Nemanja Matić,86,CDM,goldblue,Serbia,71,74,85,82,85,83,https://wefut.com/player/14/13915/nemanja-matic
Alessio Cerci,86,CF,goldblue,Italy,88,84,87,89,55,62,https://wefut.com/player/14/13909/alessio-cerci
Jackson Martínez,86,ST,goldblue,Colombia,87,83,70,82,64,92,https://wefut.com/player/14/13908/jackson-martinez
Gabi,86,CM,goldblue,Spain,74,79,89,80,77,63,https://wefut.com/player/14/13904/gabi
Samir Nasri,86,RM,motm,France,83,83,86,89,54,63,https://wefut.com/player/14/13363/samir-nasri
