Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Cristiano Ronaldo,93,LW,goldif,Portugal,94,95,83,92,34,80,https://wefut.com/player/15/12781/cristiano-ronaldo
Lionel Messi,93,CF,goldrare,Argentina,93,89,86,96,27,62,https://wefut.com/player/15/2097/lionel-messi
Franco Baresi,92,CB,legend,Italy,76,39,73,70,94,82,https://wefut.com/player/15/2718/franco-baresi
Paolo Maldini,92,CB,legend,Italy,86,56,74,67,95,80,https://wefut.com/player/15/31/paolo-maldini
Thiago Silva,92,CB,goldblue,Brazil,85,64,78,77,94,88,https://wefut.com/player/15/14777/thiago-silva
Toni Kroos,92,CM,goldblue,Germany,66,89,96,90,65,75,https://wefut.com/player/15/14736/toni-kroos
James Rodríguez,92,CM,goldblue,Colombia,86,90,92,91,50,80,https://wefut.com/player/15/14729/james-rodriguez
Kevin De Bruyne,92,CAM,goldblue,Belgium,88,95,98,94,55,82,https://wefut.com/player/15/14672/kevin-de-bruyne
Luis Suárez,92,ST,motm,Uruguay,86,94,84,94,47,85,https://wefut.com/player/15/14313/luis-suarez
Zlatan Ibrahimović,92,ST,goldif,Sweden,78,95,84,90,38,90,https://wefut.com/player/15/14241/zlatan-ibrahimovic
Arjen Robben,92,RM,goldif,Netherlands,94,91,87,94,37,69,https://wefut.com/player/15/12922/arjen-robben
Sergio Ramos,94,CB,toty,Spain,86,69,79,74,96,90,https://wefut.com/player/15/13091/sergio-ramos
Marco van Basten,91,ST,legend,Netherlands,83,94,73,80,34,70,https://wefut.com/player/15/6760/marco-van-basten
Lothar Matthäus,91,CDM,legend,Germany,86,86,86,77,88,82,https://wefut.com/player/15/5933/lothar-matthaus
Paul Pogba,91,CM,goldblue,France,85,91,90,95,85,95,https://wefut.com/player/15/14797/paul-pogba
Antoine Griezmann,91,ST,goldblue,France,95,95,85,95,40,80,https://wefut.com/player/15/14739/antoine-griezmann
Wayne Rooney,91,ST,special,England,81,98,91,92,52,96,https://wefut.com/player/15/17980/wayne-rooney
Edinson Cavani,91,LW,goldif,Uruguay,84,98,80,93,50,94,https://wefut.com/player/15/17844/edinson-cavani
Yaya Touré,91,CM,goldif,Ivory Coast,81,92,91,90,91,97,https://wefut.com/player/15/17401/yaya-toure
Luis Suárez,91,ST,goldif,Uruguay,85,93,82,92,45,83,https://wefut.com/player/15/14181/luis-suarez
Zlatan Ibrahimović,91,ST,goldif,Sweden,77,93,82,88,36,88,https://wefut.com/player/15/13008/zlatan-ibrahimovic
Arjen Robben,91,RW,goldif,Netherlands,94,89,85,93,34,65,https://wefut.com/player/15/12815/arjen-robben
Ruud Gullit,90,CM,legend,Netherlands,86,83,89,86,79,82,https://wefut.com/player/15/10947/ruud-gullit
Butragueño,90,ST,legend,Spain,91,88,78,87,36,65,https://wefut.com/player/15/5994/butragueno
Ruud van Nistelrooy,90,ST,legend,Netherlands,84,88,68,76,35,76,https://wefut.com/player/15/138/ruud-van-nistelrooy
Luís Figo,90,RW,legend,Portugal,83,80,86,90,38,75,https://wefut.com/player/15/99/luis-figo
Hristo Stoichkov,90,ST,legend,Bulgaria,84,88,85,87,51,82,https://wefut.com/player/15/86/hristo-stoichkov
Dennis Bergkamp,90,CF,legend,Netherlands,83,90,83,87,29,79,https://wefut.com/player/15/73/dennis-bergkamp
Hulk,90,RW,goldblue,Brazil,90,98,90,91,55,96,https://wefut.com/player/15/14833/hulk
Giorgio Chiellini,90,CB,goldblue,Italy,83,55,62,65,95,96,https://wefut.com/player/15/14796/giorgio-chiellini
Alexandre Lacazette,90,ST,goldblue,France,97,96,85,95,50,90,https://wefut.com/player/15/14784/alexandre-lacazette
Blaise Matuidi,90,CM,goldblue,France,85,80,87,85,93,91,https://wefut.com/player/15/14780/blaise-matuidi
Piqué,90,CB,goldblue,Spain,72,60,80,67,95,85,https://wefut.com/player/15/14727/pique
Santi Cazorla,90,CM,goldblue,Spain,81,88,95,96,42,70,https://wefut.com/player/15/14597/santi-cazorla
Cesc Fàbregas,90,CM,goldblue,Spain,74,85,96,87,70,70,https://wefut.com/player/15/14593/cesc-fabregas
John Terry,90,CB,goldblue,England,50,57,66,62,97,94,https://wefut.com/player/15/14588/john-terry
Cristiano Ronaldo,92,LW,goldrare,Portugal,93,93,81,91,32,87,https://wefut.com/player/15/15629/gareth-bale
Edinson Cavani,90,ST,pink,Uruguay,83,96,78,90,47,92,https://wefut.com/player/15/15626/edinson-cavani
Wayne Rooney,90,ST,pink,England,80,97,88,89,50,93,https://wefut.com/player/15/15625/wayne-rooney
Yaya Touré,90,CM,pink,Ivory Coast,80,90,89,87,89,95,https://wefut.com/player/15/15623/yaya-toure
Neymar,90,LW,motm,Brazil,94,88,80,96,38,67,https://wefut.com/player/15/14318/neymar
Luis Suárez,90,ST,motm,Uruguay,84,90,80,90,43,81,https://wefut.com/player/15/14078/luis-suarez
Eden Hazard,90,LM,purple,Belgium,91,86,89,94,37,70,https://wefut.com/player/15/14403/eden-hazard
Thiago Silva,90,CB,goldif,Brazil,81,63,77,76,94,87,https://wefut.com/player/15/17559/thiago-silva
Sergio Agüero,90,ST,goldif,Argentina,92,95,84,95,35,75,https://wefut.com/player/15/15201/sergio-aguero
David Silva,90,LM,goldif,Spain,79,85,92,94,38,61,https://wefut.com/player/15/14086/david-silva
Zlatan Ibrahimović,90,ST,goldrare,Sweden,76,91,81,86,34,86,https://wefut.com/player/15/309/zlatan-ibrahimovic
Arjen Robben,90,RM,goldrare,Netherlands,93,86,83,92,32,64,https://wefut.com/player/15/132/arjen-robben
Laurent Blanc,89,CB,legend,France,80,65,69,78,90,84,https://wefut.com/player/15/12207/laurent-blanc
Michael Laudrup,89,CAM,legend,Denmark,85,73,87,89,38,64,https://wefut.com/player/15/12113/michael-laudrup
Gary Lineker,89,ST,legend,England,86,86,69,80,34,75,https://wefut.com/player/15/10976/gary-lineker
Gheorghe Hagi,89,CAM,legend,Romania,84,85,88,85,42,66,https://wefut.com/player/15/2696/gheorghe-hagi
George Weah,89,ST,legend,Liberia,93,87,77,85,44,81,https://wefut.com/player/15/2504/george-weah
Fernando Hierro,89,CB,legend,Spain,70,67,70,72,89,83,https://wefut.com/player/15/2277/fernando-hierro
Pavel Nedvěd,89,LM,legend,Czech Republic,83,83,85,87,46,80,https://wefut.com/player/15/102/pavel-nedved
Fabio Cannavaro,89,CB,legend,Italy,73,39,57,65,91,81,https://wefut.com/player/15/35/fabio-cannavaro
Marcel Desailly,89,CB,legend,France,82,51,64,66,88,88,https://wefut.com/player/15/32/marcel-desailly
Alan Shearer,89,ST,legend,England,78,90,77,76,50,84,https://wefut.com/player/15/7/alan-shearer
Clint Dempsey,89,ST,goldblue,United States,81,94,87,92,55,88,https://wefut.com/player/15/17009/clint-dempsey
Jérémy Toulalan,89,CDM,goldblue,France,60,60,84,80,90,88,https://wefut.com/player/15/14789/jeremy-toulalan
Dani Alves,89,RB,goldblue,Brazil,92,76,91,89,87,75,https://wefut.com/player/15/14725/dani-alves
Gareth Bale,90,RM,pink,Wales,97,90,89,90,67,87,https://wefut.com/player/15/15629/gareth-bale
Edinson Cavani,90,ST,pink,Uruguay,84,93,91,87,52,80,https://wefut.com/player/15/17565/thomas-muller
Alexis Sánchez,89,ST,goldif,Chile,92,94,87,96,50,78,https://wefut.com/player/15/15195/alexis-sanchez
Robert Lewandowski,89,ST,goldif,Poland,83,91,80,90,43,84,https://wefut.com/player/15/14766/robert-lewandowski
Thiago Silva,89,CB,goldif,Brazil,80,61,76,75,93,86,https://wefut.com/player/15/14483/thiago-silva
Sergio Agüero,89,ST,goldif,Argentina,91,92,81,93,32,72,https://wefut.com/player/15/14453/sergio-aguero
Gonzalo Higuaín,89,ST,goldif,Argentina,85,93,74,87,35,82,https://wefut.com/player/15/14352/gonzalo-higuain
Eden Hazard,89,LM,goldif,Belgium,90,84,87,93,35,67,https://wefut.com/player/15/14325/eden-hazard
Franck Ribéry,89,LM,goldif,France,90,81,88,94,31,64,https://wefut.com/player/15/14153/franck-ribery
Neymar,89,LW,goldif,Brazil,93,87,78,95,35,63,https://wefut.com/player/15/13963/neymar
David Silva,89,CAM,goldif,Spain,78,82,91,93,36,59,https://wefut.com/player/15/13042/david-silva
Luis Suárez,89,ST,goldrare,Uruguay,83,87,79,88,42,79,https://wefut.com/player/15/3557/luis-suarez
Iniesta,89,CM,goldrare,Spain,75,72,89,91,59,63,https://wefut.com/player/15/6/iniesta
Brian Laudrup,88,CF,legend,Denmark,87,83,80,88,29,65,https://wefut.com/player/15/12164/brian-laudrup
Davor Šuker,88,ST,legend,Croatia,81,86,79,86,66,76,https://wefut.com/player/15/11053/davor-suker
Frank Rijkaard,88,CB,legend,Netherlands,70,68,73,68,87,84,https://wefut.com/player/15/10946/frank-rijkaard
Bobby Moore,88,CB,legend,England,77,62,79,74,87,84,https://wefut.com/player/15/5657/bobby-moore
Andriy Shevchenko,88,ST,legend,Ukraine,84,86,71,84,33,73,https://wefut.com/player/15/174/andriy-shevchenko
Patrick Kluivert,88,ST,legend,Netherlands,86,86,80,82,41,81,https://wefut.com/player/15/101/patrick-kluivert
Michael Owen,88,ST,legend,England,89,84,67,85,28,64,https://wefut.com/player/15/92/michael-owen
Robert Pirès,88,LM,legend,France,86,79,86,86,35,62,https://wefut.com/player/15/45/robert-pires
Patrick Vieira,88,CM,legend,France,84,71,79,82,85,91,https://wefut.com/player/15/43/patrick-vieira
Roberto Carlos,88,LB,legend,Brazil,91,81,84,79,82,85,https://wefut.com/player/15/29/roberto-carlos
Rui Costa,88,CAM,legend,Portugal,84,80,86,86,43,76,https://wefut.com/player/15/28/rui-costa
Roy Keane,88,CM,legend,Republic of Ireland,71,71,81,78,86,90,https://wefut.com/player/15/13/roy-keane
David Luiz,89,CB,toty,Brazil,84,74,78,78,90,87,https://wefut.com/player/15/13094/david-luiz
Naldo,88,CB,goldblue,Brazil,80,67,74,65,94,89,https://wefut.com/player/15/14668/naldo
Nemanja Matić,88,CDM,goldblue,Serbia,72,75,83,80,88,92,https://wefut.com/player/15/14506/nemanja-matic
Claudio Marchisio,88,CM,goldblue,Italy,84,81,85,88,80,84,https://wefut.com/player/15/14505/claudio-marchisio
Ezequiel Garay,88,CB,goldblue,Argentina,56,61,73,69,92,85,https://wefut.com/player/15/14501/ezequiel-garay
Marco Reus,88,LM,pink,Germany,93,90,88,89,35,68,https://wefut.com/player/15/15631/marco-reus
Christian Eriksen,88,CAM,pink,Denmark,86,87,92,90,51,60,https://wefut.com/player/15/15628/christian-eriksen
Ángel Di María,88,LW,motm,Argentina,92,86,89,92,61,76,https://wefut.com/player/15/14886/angel-di-maria
Ivan Rakitić,88,CM,motm,Croatia,73,89,97,90,70,80,https://wefut.com/player/15/14699/ivan-rakitic
Edinson Cavani,88,LW,motm,Uruguay,81,93,75,86,45,89,https://wefut.com/player/15/14634/edinson-cavani
Mesut Özil,88,CAM,motm,Germany,77,80,93,92,35,65,https://wefut.com/player/15/14632/mesut-ozil
Alexis Sánchez,88,LW,motm,Chile,91,91,84,94,47,75,https://wefut.com/player/15/14316/alexis-sanchez
Carlos Tévez,88,ST,motm,Argentina,89,92,83,91,55,89,https://wefut.com/player/15/14229/carlos-tevez
Gonzalo Higuaín,88,ST,motm,Argentina,84,92,71,85,33,79,https://wefut.com/player/15/14192/gonzalo-higuain
Thiago Silva,88,CB,motm,Brazil,79,59,74,73,92,84,https://wefut.com/player/15/14189/thiago-silva
Sergio Ramos,88,CB,motm,Spain,80,61,72,67,91,85,https://wefut.com/player/15/13035/sergio-ramos
Mario Götze,88,CF,goldif,Germany,82,84,88,94,42,68,https://wefut.com/player/15/17977/mario-gotze
Kevin De Bruyne,88,RM,goldif,Belgium,84,93,95,92,54,80,https://wefut.com/player/15/17975/kevin-de-bruyne
James Rodríguez,88,RM,goldif,Colombia,82,88,89,89,45,76,https://wefut.com/player/15/17842/james-rodriguez
Arturo Vidal,88,CM,goldif,Chile,82,86,87,88,88,90,https://wefut.com/player/15/15193/arturo-vidal
Yaya Touré,88,CM,goldif,Ivory Coast,78,88,85,84,84,93,https://wefut.com/player/15/14484/yaya-toure
Robert Lewandowski,88,ST,goldif,Poland,82,87,76,88,41,81,https://wefut.com/player/15/14305/robert-lewandowski
Gareth Bale,88,CF,goldif,Wales,95,86,86,87,65,83,https://wefut.com/player/15/14258/gareth-bale
Jérôme Boateng,88,CB,goldif,Germany,81,56,73,74,90,87,https://wefut.com/player/15/14250/jerome-boateng
Steven Gerrard,88,CAM,goldblue,England,70,90,92,81,80,88,https://wefut.com/player/15/14157/wayne-rooney
Mats Hummels,88,CB,goldif,Germany,68,62,80,76,93,85,https://wefut.com/player/15/14149/mats-hummels
Thomas Müller,88,ST,goldif,Germany,83,91,89,84,50,77,https://wefut.com/player/15/14067/thomas-muller
Diego Costa,88,ST,goldif,Spain,85,90,69,84,44,90,https://wefut.com/player/15/13967/diego-costa
Sergio Agüero,88,ST,goldif,Argentina,90,91,79,91,30,69,https://wefut.com/player/15/13965/sergio-aguero
Neymar,88,LW,goldif,Brazil,92,84,75,94,32,60,https://wefut.com/player/15/13964/neymar
Philipp Lahm,88,CM,goldif,Germany,77,61,87,84,89,69,https://wefut.com/player/15/12850/philipp-lahm
David Silva,88,CAM,goldif,Spain,77,79,89,91,35,58,https://wefut.com/player/15/12835/david-silva
Robin van Persie,88,ST,goldrare,Netherlands,74,90,82,83,33,68,https://wefut.com/player/15/17006/robin-van-persie
Bastian Schweinsteiger,88,CM,goldrare,Germany,61,81,85,82,78,80,https://wefut.com/player/15/15782/bastian-schweinsteiger
Falcao,88,ST,goldrare,Colombia,77,86,64,81,40,73,https://wefut.com/player/15/15080/falcao
Eden Hazard,88,LM,goldrare,Belgium,89,82,84,91,32,64,https://wefut.com/player/15/4357/eden-hazard
Falcao,88,ST,goldrare,Colombia,77,86,64,81,40,73,https://wefut.com/player/15/2741/falcao
Franck Ribéry,88,LM,goldrare,France,89,78,85,92,29,62,https://wefut.com/player/15/1991/franck-ribery
Bastian Schweinsteiger,88,CM,goldrare,Germany,61,81,85,82,78,80,https://wefut.com/player/15/854/bastian-schweinsteiger
Robin van Persie,88,ST,goldrare,Netherlands,74,90,82,83,33,68,https://wefut.com/player/15/120/robin-van-persie
Oliver Bierhoff,87,CAM,legend,Germany,76,83,62,73,32,74,https://wefut.com/player/15/11290/oliver-bierhoff
Paulo Futre,87,LW,legend,Portugal,84,80,78,92,28,55,https://wefut.com/player/15/10948/paulo-futre
Andreas Brehme,87,LWB,legend,Germany,89,66,82,75,86,86,https://wefut.com/player/15/2695/andreas-brehme
Pauleta,87,ST,legend,Portugal,82,86,72,78,32,72,https://wefut.com/player/15/809/pauleta
Henrik Larsson,87,ST,legend,Sweden,84,84,73,84,43,67,https://wefut.com/player/15/495/henrik-larsson
Hernán Crespo,87,ST,legend,Argentina,87,86,69,80,30,69,https://wefut.com/player/15/109/hernan-crespo
Gianfranco Zola,87,CF,legend,Italy,85,82,84,89,32,62,https://wefut.com/player/15/37/gianfranco-zola
Filippo Inzaghi,87,ST,legend,Italy,85,82,49,76,31,55,https://wefut.com/player/15/36/filippo-inzaghi
Christian Vieri,87,ST,legend,Italy,83,87,63,78,31,83,https://wefut.com/player/15/26/christian-vieri
Wayne Rooney,88,ST,goldif,England,78,93,85,87,47,90,https://wefut.com/player/15/14157/wayne-rooney
Mats Hummels,88,CB,goldblue,Spain,80,95,83,90,40,75,https://wefut.com/player/15/17033/david-villa
Roman Eremenko,87,CAM,goldblue,Finland,85,89,92,92,70,85,https://wefut.com/player/15/14831/roman-eremenko
Radja Nainggolan,87,CM,goldblue,Belgium,89,85,86,88,85,88,https://wefut.com/player/15/14798/radja-nainggolan
Dimitri Payet,87,CAM,goldblue,France,86,90,92,91,55,78,https://wefut.com/player/15/14782/dimitri-payet
Javier Pastore,87,CM,goldblue,Argentina,77,88,90,91,55,75,https://wefut.com/player/15/14781/javier-pastore
Parejo,87,CM,goldblue,Spain,70,84,94,88,65,78,https://wefut.com/player/15/14730/parejo
Ricardo Rodriguez,87,LB,goldblue,Switzerland,84,70,85,86,89,85,https://wefut.com/player/15/14676/ricardo-rodriguez
Gonzalo Castro,87,CDM,goldblue,Germany,82,80,90,86,82,80,https://wefut.com/player/15/14669/gonzalo-castro
Jackson Martínez,87,ST,goldblue,Colombia,86,87,70,84,48,89,https://wefut.com/player/15/14509/jackson-martinez
Marco Verratti,87,CM,goldblue,Italy,76,60,87,91,80,74,https://wefut.com/player/15/14504/marco-verratti
Marcelo,87,LB,goldblue,Brazil,86,72,83,89,84,85,https://wefut.com/player/15/14502/marcelo
Kevin De Bruyne,87,CAM,motm,Belgium,83,91,92,90,52,77,https://wefut.com/player/15/14633/kevin-de-bruyne
Arturo Vidal,87,CM,motm,Chile,81,81,85,85,86,87,https://wefut.com/player/15/14293/arturo-vidal
Jérôme Boateng,87,CB,motm,Germany,80,55,71,72,87,84,https://wefut.com/player/15/14190/jerome-boateng
Yaya Touré,87,CM,motm,Ivory Coast,77,85,83,81,82,91,https://wefut.com/player/15/13508/yaya-toure
Gonzalo Higuaín,87,ST,motm,Argentina,83,91,70,84,32,76,https://wefut.com/player/15/13034/gonzalo-higuain
Wesley Sneijder,87,CAM,goldif,Netherlands,78,90,93,89,55,72,https://wefut.com/player/15/17843/wesley-sneijder
Diego Godín,87,CB,goldif,Uruguay,70,52,70,65,95,89,https://wefut.com/player/15/17837/diego-godin
Edinson Cavani,87,ST,goldif,Uruguay,80,90,72,82,43,85,https://wefut.com/player/15/14454/edinson-cavani
Mario Götze,87,CAM,goldif,Germany,81,80,85,91,40,65,https://wefut.com/player/15/14063/mario-gotze
Alexis Sánchez,87,LW,goldif,Chile,90,90,82,92,45,72,https://wefut.com/player/15/13968/alexis-sanchez
Diego Costa,87,ST,goldif,Spain,84,87,65,82,41,89,https://wefut.com/player/15/13966/diego-costa
Karim Benzema,87,ST,goldif,France,86,89,78,86,36,79,https://wefut.com/player/15/13499/karim-benzema
Mesut Özil,87,LW,goldif,Germany,76,77,89,89,30,60,https://wefut.com/player/15/13497/mesut-ozil
Jay-Jay Okocha,87,CAM,legend,Nigeria,84,80,81,90,35,58,https://wefut.com/player/15/13062/wayne-rooney
Mats Hummels,87,CB,goldif,Germany,67,60,77,73,91,82,https://wefut.com/player/15/13000/mats-hummels
Thomas Müller,87,ST,goldif,Germany,82,88,84,82,48,75,https://wefut.com/player/15/12908/thomas-muller
Carlos Tévez,87,CF,goldif,Argentina,88,90,81,90,52,88,https://wefut.com/player/15/12907/carlos-tevez
James Rodríguez,87,RM,goldif,Colombia,81,84,86,87,43,73,https://wefut.com/player/15/12885/james-rodriguez
Ángel Di María,87,CM,goldif,Argentina,91,81,86,89,59,73,https://wefut.com/player/15/12761/angel-di-maria
Sergio Agüero,87,ST,goldrare,Argentina,89,87,78,89,29,68,https://wefut.com/player/15/13828/sergio-aguero
Neymar,87,LW,goldrare,Brazil,90,82,73,93,30,59,https://wefut.com/player/15/13827/neymar
Robert Lewandowski,87,ST,goldrare,Poland,81,84,74,85,39,78,https://wefut.com/player/15/5275/robert-lewandowski
Luka Modrić,87,CM,goldrare,Croatia,76,74,85,89,71,70,https://wefut.com/player/15/3619/luka-modric
Gareth Bale,87,RM,goldrare,Wales,94,83,83,84,63,81,https://wefut.com/player/15/3378/gareth-bale
David Silva,87,LM,goldrare,Spain,76,77,86,89,33,57,https://wefut.com/player/15/2821/david-silva
Thiago Silva,87,CB,goldrare,Brazil,78,57,72,72,90,80,https://wefut.com/player/15/2516/thiago-silva
Sergio Ramos,87,CB,goldrare,Spain,79,60,71,66,87,82,https://wefut.com/player/15/1907/sergio-ramos
Philipp Lahm,87,CDM,goldrare,Germany,76,56,84,83,87,67,https://wefut.com/player/15/853/philipp-lahm
Carlos Valderrama,86,CAM,legend,Colombia,68,72,85,86,26,48,https://wefut.com/player/15/12238/carlos-valderrama
Stefan Effenberg,86,CAM,legend,Germany,74,82,82,80,74,85,https://wefut.com/player/15/11248/stefan-effenberg
Frank De Boer,86,CB,legend,Netherlands,66,58,66,63,89,78,https://wefut.com/player/15/3777/frank-de-boer
Freddie Ljungberg,86,RM,legend,Sweden,85,81,80,83,38,75,https://wefut.com/player/15/105/freddie-ljungberg
Teddy Sheringham,86,ST,legend,England,78,86,70,72,40,72,https://wefut.com/player/15/17/teddy-sheringham
Sol Campbell,86,CB,legend,England,78,35,56,48,85,86,https://wefut.com/player/15/16/sol-campbell
Gary Neville,86,RB,legend,England,80,36,74,57,84,81,https://wefut.com/player/15/14/gary-neville
Robbie Fowler,86,ST,legend,England,83,82,73,83,48,76,https://wefut.com/player/15/12/robbie-fowler
Robbie Keane,86,ST,goldblue,Republic of Ireland,77,93,86,91,40,80,https://wefut.com/player/15/17034/robbie-keane
Kaká,86,CAM,goldblue,Brazil,80,82,87,85,38,65,https://wefut.com/player/15/17011/kaka
Jonatan Soriano,86,ST,goldblue,Spain,75,95,90,89,45,80,https://wefut.com/player/15/14834/jonatan-soriano
Memphis Depay,86,LW,goldblue,Netherlands,98,88,84,92,40,84,https://wefut.com/player/15/14817/memphis-depay
Leonardo Bonucci,86,CB,goldblue,Italy,77,60,77,75,93,90,https://wefut.com/player/15/14795/leonardo-bonucci
Kamil Glik,86,CB,goldblue,Poland,60,40,60,55,94,91,https://wefut.com/player/15/14794/kamil-glik
Nicolas Nkoulou,86,CB,goldblue,Cameroon,87,50,75,77,90,87,https://wefut.com/player/15/14786/nicolas-nkoulou
Loïc Perrin,86,CB,goldblue,France,77,70,77,75,92,86,https://wefut.com/player/15/14778/loic-perrin
Pierre-Emerick Aubameyang,86,ST,goldblue,Gabon,99,90,85,88,50,80,https://wefut.com/player/15/14679/pierre-emerick-aubameyang
Harry Kane,86,ST,goldblue,England,83,92,80,86,48,85,https://wefut.com/player/15/14594/harry-kane
Azpilicueta,86,LB,goldblue,Spain,86,61,80,77,88,83,https://wefut.com/player/15/14590/azpilicueta
Kevin De Bruyne,86,CAM,motm,Belgium,82,89,89,88,49,75,https://wefut.com/player/15/14191/kevin-de-bruyne
Christian Eriksen,86,LW,motm,Denmark,84,82,88,87,49,58,https://wefut.com/player/15/13974/christian-eriksen
John Terry,86,CB,special,England,44,54,64,58,91,88,https://wefut.com/player/15/14444/john-terry
Pedro,86,RM,goldif,Spain,87,86,87,93,42,67,https://wefut.com/player/15/17705/pedro
Blaise Matuidi,86,CM,goldif,France,81,74,85,83,90,88,https://wefut.com/player/15/17399/blaise-matuidi
Hulk,86,ST,goldif,Brazil,85,96,86,89,52,94,https://wefut.com/player/15/17054/hulk
Ivan Rakitić,86,CM,goldif,Croatia,72,86,94,87,65,75,https://wefut.com/player/15/14486/ivan-rakitic
Juan Mata,86,RM,goldif,Spain,75,80,86,89,32,62,https://wefut.com/player/15/14238/juan-mata
Antoine Griezmann,86,ST,goldif,France,89,91,80,89,35,74,https://wefut.com/player/15/14088/antoine-griezmann
Paul Pogba,86,CM,goldif,France,79,85,84,89,79,91,https://wefut.com/player/15/13977/paul-pogba
Isco,86,CM,goldif,Spain,79,83,90,91,39,67,https://wefut.com/player/15/13972/isco
