Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Philipp Lahm,91,LB,imotm,Germany,84,59,93,91,92,76,https://wefut.com/player/16/18240/philipp-lahm
Eden Hazard,91,LM,imotm,Belgium,92,88,87,94,37,69,https://wefut.com/player/16/18212/eden-hazard
Kevin De Bruyne,91,CAM,imotm,Belgium,82,91,93,92,50,87,https://wefut.com/player/16/18188/kevin-de-bruyne
Marco van Basten,91,ST,legend,Netherlands,83,94,73,81,34,70,https://wefut.com/player/16/5398/marco-van-basten
Lothar Matthäus,91,CDM,legend,Germany,86,86,86,77,88,82,https://wefut.com/player/16/5268/lothar-matthaus
Paulo Dybala,91,ST,goldblue,Argentina,93,92,87,96,32,73,https://wefut.com/player/16/17875/paulo-dybala
Miralem Pjanić,91,CM,goldblue,Bosnia Herzegovina,80,88,94,91,77,78,https://wefut.com/player/16/17872/miralem-pjanic
Blaise Matuidi,91,CM,goldblue,France,82,81,89,87,90,89,https://wefut.com/player/16/17848/blaise-matuidi
Carlos Tévez,91,ST,goldblue,Argentina,92,94,86,93,51,90,https://wefut.com/player/16/17791/carlos-tevez
Aduriz,91,ST,goldblue,Spain,80,95,77,88,56,92,https://wefut.com/player/16/17774/aduriz
Jonas,91,ST,goldblue,Brazil,86,97,89,94,45,81,https://wefut.com/player/16/17713/jonas
Jamie Vardy,91,ST,goldblue,England,96,91,77,88,60,89,https://wefut.com/player/16/17570/jamie-vardy
Marco Reus,91,LM,pink,Germany,94,91,92,93,45,76,https://wefut.com/player/16/19963/marco-reus
Toni Kroos,91,CM,pink,Germany,60,89,95,90,77,80,https://wefut.com/player/16/19897/toni-kroos
Thiago Silva,91,CB,motm,Brazil,77,61,77,77,94,85,https://wefut.com/player/16/17399/thiago-silva
Gonzalo Higuaín,91,ST,special,Argentina,86,95,80,90,32,81,https://wefut.com/player/16/17736/gonzalo-higuain
James Rodríguez,91,RM,goldif,Colombia,82,92,91,91,47,82,https://wefut.com/player/16/21321/james-rodriguez
Ángel Di María,91,LW,goldif,Argentina,93,89,93,93,58,82,https://wefut.com/player/16/20866/angel-di-maria
Iniesta,91,CM,goldif,Spain,78,79,92,94,62,67,https://wefut.com/player/16/17731/iniesta
Sergio Agüero,91,ST,goldif,Argentina,92,94,85,92,30,78,https://wefut.com/player/16/17333/sergio-aguero
Neymar,91,LW,goldif,Brazil,91,87,78,94,31,60,https://wefut.com/player/16/16849/neymar
Robert Lewandowski,91,ST,goldif,Poland,83,94,80,91,42,87,https://wefut.com/player/16/16827/robert-lewandowski
Robert Lewandowski,91,ST,goldif,Poland,83,94,80,91,42,87,https://wefut.com/player/16/16683/robert-lewandowski
Arjen Robben,91,ST,goldif,Netherlands,93,88,84,93,34,66,https://wefut.com/player/16/14490/arjen-robben
Luis Suárez,91,ST,goldif,Uruguay,83,90,81,90,44,82,https://wefut.com/player/16/14301/luis-suarez
Zlatan Ibrahimović,91,ST,goldif,Sweden,75,93,86,89,34,90,https://wefut.com/player/16/14268/zlatan-ibrahimovic
Paul Pogba,90,CM,imotm,France,81,86,89,91,79,92,https://wefut.com/player/16/18438/paul-pogba
Giorgio Chiellini,90,CB,imotm,Italy,80,51,62,65,95,91,https://wefut.com/player/16/18435/giorgio-chiellini
Jérôme Boateng,90,CB,imotm,Germany,82,53,80,74,92,90,https://wefut.com/player/16/18433/jerome-boateng
Frank Lampard,90,CM,imotm,England,75,91,89,83,66,82,https://wefut.com/player/16/18241/frank-lampard
Alexis Sánchez,90,LW,imotm,Chile,91,92,87,92,45,80,https://wefut.com/player/16/18197/alexis-sanchez
James Rodríguez,90,CAM,imotm,Colombia,81,91,90,90,45,80,https://wefut.com/player/16/18194/james-rodriguez
Carlos Tévez,90,ST,imotm,Argentina,91,90,83,91,49,88,https://wefut.com/player/16/18140/carlos-tevez
Antoine Griezmann,90,RW,imotm,France,92,93,89,93,41,81,https://wefut.com/player/16/18127/antoine-griezmann
Ángel Di María,90,LW,imotm,Argentina,92,88,92,92,56,80,https://wefut.com/player/16/18080/angel-di-maria
George Best,90,RW,legend,Northern Ireland,90,89,81,94,59,68,https://wefut.com/player/16/13004/george-best
Ruud Gullit,90,CM,legend,Netherlands,86,83,89,86,79,82,https://wefut.com/player/16/10145/ruud-gullit
Butragueño,90,ST,legend,Spain,91,88,78,87,36,65,https://wefut.com/player/16/5319/butragueno
Ruud van Nistelrooy,90,ST,legend,Netherlands,84,89,68,76,33,76,https://wefut.com/player/16/106/ruud-van-nistelrooy
Luís Figo,90,RW,legend,Portugal,83,81,86,90,38,75,https://wefut.com/player/16/78/luis-figo
Hristo Stoichkov,90,ST,legend,Bulgaria,84,88,85,87,51,82,https://wefut.com/player/16/70/hristo-stoichkov
Alessandro Nesta,90,CB,legend,Italy,67,32,62,61,92,76,https://wefut.com/player/16/26/alessandro-nesta
Clint Dempsey,90,ST,goldblue,United States,81,95,90,94,52,88,https://wefut.com/player/16/19938/clint-dempsey
Marek Hamšik,90,CM,goldblue,Slovakia,81,89,90,90,68,80,https://wefut.com/player/16/17885/marek-hamsik
Lorenzo Insigne,90,LW,goldblue,Italy,95,88,93,96,46,60,https://wefut.com/player/16/17881/lorenzo-insigne
Andrea Barzagli,90,CB,goldblue,Italy,81,41,63,70,95,86,https://wefut.com/player/16/17868/andrea-barzagli
Hatem Ben Arfa,90,CAM,goldblue,France,88,93,91,96,47,87,https://wefut.com/player/16/17850/hatem-ben-arfa
Islam Slimani,90,ST,goldblue,Algeria,81,94,78,87,54,95,https://wefut.com/player/16/17714/islam-slimani
Henrikh Mkhitaryan,90,RM,goldblue,Armenia,92,85,92,94,62,82,https://wefut.com/player/16/17661/henrikh-mkhitaryan
Dimitri Payet,90,LM,goldblue,France,85,87,91,93,55,80,https://wefut.com/player/16/17569/dimitri-payet
Sergio Busquets,90,CDM,goldblue,Spain,60,65,87,82,90,85,https://wefut.com/player/16/17434/sergio-busquets
Philipp Lahm,90,RB,motm,Germany,78,62,92,91,92,76,https://wefut.com/player/16/17823/philipp-lahm
Kevin De Bruyne,90,CAM,motm,Belgium,81,90,91,91,47,85,https://wefut.com/player/16/17291/kevin-de-bruyne
Zlatan Ibrahimović,90,ST,purple,Sweden,74,92,84,87,32,88,https://wefut.com/player/16/14242/zlatan-ibrahimovic
Thomas Müller,90,RW,goldif,Germany,81,90,89,87,51,82,https://wefut.com/player/16/20883/thomas-muller
Gareth Bale,90,RW,goldif,Wales,97,91,89,89,70,87,https://wefut.com/player/16/17411/gareth-bale
Eden Hazard,90,LM,goldif,Belgium,91,86,86,93,35,67,https://wefut.com/player/16/17407/eden-hazard
Karim Benzema,90,ST,goldif,France,87,91,86,89,27,84,https://wefut.com/player/16/17331/karim-benzema
Gonzalo Higuaín,90,ST,goldif,Argentina,85,93,78,89,30,80,https://wefut.com/player/16/17150/gonzalo-higuain
Iniesta,90,CM,goldif,Spain,77,78,90,93,61,66,https://wefut.com/player/16/17073/iniesta
Mesut Özil,90,CAM,goldif,Germany,74,81,93,90,27,62,https://wefut.com/player/16/16702/mesut-ozil
Thiago Silva,90,CB,goldif,Brazil,76,60,76,76,93,84,https://wefut.com/player/16/16077/thiago-silva
Sergio Agüero,90,ST,goldif,Argentina,91,93,82,91,27,75,https://wefut.com/player/16/16074/sergio-aguero
Diego Godín,90,CB,goldif,Uruguay,74,59,74,70,95,92,https://wefut.com/player/16/16072/diego-godin
Neymar,90,LW,goldrare,Brazil,90,83,75,93,30,58,https://wefut.com/player/16/16826/neymar
Dennis Bergkamp,90,CF,legend,Netherlands,83,90,83,87,26,79,https://wefut.com/player/16/60/dennis-bergkamp
Toni Kroos,89,CM,imotm,Germany,58,85,92,86,72,75,https://wefut.com/player/16/18437/toni-kroos
David Villa,89,ST,imotm,Spain,93,91,77,89,35,73,https://wefut.com/player/16/18244/david-villa
Giorgio Chiellini,89,CB,imotm,Italy,79,50,60,62,94,89,https://wefut.com/player/16/18216/giorgio-chiellini
Arturo Vidal,89,CM,imotm,Chile,80,86,87,86,88,89,https://wefut.com/player/16/18195/arturo-vidal
Jérôme Boateng,89,CB,imotm,Germany,81,52,77,71,91,88,https://wefut.com/player/16/18130/jerome-boateng
Alexis Sánchez,89,LW,imotm,Chile,90,90,85,91,43,78,https://wefut.com/player/16/18126/alexis-sanchez
Luka Modrić,89,CM,imotm,Croatia,78,80,88,91,75,71,https://wefut.com/player/16/18095/luka-modric
James Rodríguez,89,CAM,imotm,Colombia,80,90,88,89,43,78,https://wefut.com/player/16/18082/james-rodriguez
Laurent Blanc,89,CB,legend,France,80,65,69,78,90,84,https://wefut.com/player/16/11821/laurent-blanc
Michael Laudrup,89,CAM,legend,Denmark,85,73,87,89,38,64,https://wefut.com/player/16/11713/michael-laudrup
Gary Lineker,89,ST,legend,England,86,87,69,80,28,75,https://wefut.com/player/16/10200/gary-lineker
Bobby Moore,89,CB,legend,England,71,62,79,74,90,84,https://wefut.com/player/16/4994/bobby-moore
Gheorghe Hagi,89,CAM,legend,Romania,84,85,88,85,42,66,https://wefut.com/player/16/2214/gheorghe-hagi
George Weah,89,ST,legend,Liberia,93,87,77,85,44,81,https://wefut.com/player/16/2038/george-weah
Fernando Hierro,89,CB,legend,Spain,70,67,70,72,89,83,https://wefut.com/player/16/1835/fernando-hierro
Pavel Nedvěd,89,LM,legend,Czech Republic,83,83,85,87,46,80,https://wefut.com/player/16/83/pavel-nedved
Fabio Cannavaro,89,CB,legend,Italy,73,39,57,65,91,81,https://wefut.com/player/16/31/fabio-cannavaro
Marcel Desailly,89,CB,legend,France,82,51,64,66,88,88,https://wefut.com/player/16/28/marcel-desailly
Ryan Giggs,89,LM,legend,Wales,90,78,87,88,41,67,https://wefut.com/player/16/11/ryan-giggs
Alan Shearer,89,ST,legend,England,78,90,77,76,50,84,https://wefut.com/player/16/6/alan-shearer
Andrea Pirlo,89,CM,goldblue,Italy,46,83,91,88,60,65,https://wefut.com/player/16/19927/andrea-pirlo
Radja Nainggolan,89,CM,goldblue,Belgium,87,85,88,88,87,90,https://wefut.com/player/16/17887/radja-nainggolan
David Luiz,89,CB,goldblue,Brazil,80,76,83,80,90,87,https://wefut.com/player/16/17845/david-luiz
Luis Suárez,90,ST,goldrare,Uruguay,82,88,79,88,58,82,https://wefut.com/player/16/17772/koke
Carvajal,89,RB,goldblue,Spain,87,51,87,88,92,90,https://wefut.com/player/16/17765/carvajal
Javier Mascherano,89,CB,goldblue,Argentina,73,64,82,74,90,86,https://wefut.com/player/16/17757/javier-mascherano
Filipe Luís,89,LB,goldblue,Brazil,88,76,89,88,88,87,https://wefut.com/player/16/17755/filipe-luis
Javier Hernández,89,ST,goldblue,Mexico,91,91,75,86,37,71,https://wefut.com/player/16/17671/javier-hernandez
Douglas Costa,89,RM,goldblue,Brazil,95,86,91,92,56,72,https://wefut.com/player/16/17662/douglas-costa
Romelu Lukaku,89,ST,goldblue,Belgium,90,93,78,85,42,92,https://wefut.com/player/16/17575/romelu-lukaku
Claudio Marchisio,89,CM,goldblue,Italy,86,82,90,90,85,86,https://wefut.com/player/16/17432/claudio-marchisio
Pierre-Emerick Aubameyang,89,ST,pink,Gabon,99,90,85,88,44,80,https://wefut.com/player/16/19965/pierre-emerick-aubameyang
Marco Reus,89,LW,motm,Germany,93,89,90,91,42,73,https://wefut.com/player/16/17347/marco-reus
Antoine Griezmann,89,ST,motm,France,91,92,88,92,40,80,https://wefut.com/player/16/17315/antoine-griezmann
Thomas Müller,89,CM,motm,Germany,80,89,87,85,50,80,https://wefut.com/player/16/17091/thomas-muller
Ángel Di María,89,RW,motm,Argentina,91,87,91,91,55,78,https://wefut.com/player/16/16547/angel-di-maria
Marcelo,89,LB,toty,Brazil,89,75,85,91,90,88,https://wefut.com/player/16/14915/marcelo
Robert Lewandowski,89,ST,purple,Poland,81,92,75,87,40,83,https://wefut.com/player/16/16208/robert-lewandowski
Sergio Agüero,89,ST,purple,Argentina,90,92,79,90,25,72,https://wefut.com/player/16/16073/sergio-aguero
David Silva,89,LW,goldif,Spain,74,78,90,90,35,60,https://wefut.com/player/16/21326/david-silva
Paul Pogba,89,CM,goldif,France,80,85,88,90,78,91,https://wefut.com/player/16/17329/paul-pogba
Mesut Özil,89,CAM,goldif,Germany,73,78,91,89,25,60,https://wefut.com/player/16/16701/mesut-ozil
Gonzalo Higuaín,89,ST,goldif,Argentina,84,92,75,88,29,79,https://wefut.com/player/16/16681/gonzalo-higuain
Gonzalo Higuaín,89,ST,goldif,Argentina,84,92,75,88,29,79,https://wefut.com/player/16/16204/gonzalo-higuain
Diego Godín,89,CB,goldif,Uruguay,73,58,71,68,93,89,https://wefut.com/player/16/16071/diego-godin
Philipp Lahm,89,RB,goldif,Germany,77,61,89,89,91,73,https://wefut.com/player/16/15908/philipp-lahm
Karim Benzema,89,ST,goldif,France,86,90,83,87,26,82,https://wefut.com/player/16/15327/karim-benzema
Gareth Bale,89,RW,goldif,Wales,96,90,87,88,66,85,https://wefut.com/player/16/14930/gareth-bale
Koke,89,CM,goldblue,Spain,80,82,92,88,58,82,https://wefut.com/player/16/17772/koke
Iniesta,89,CM,goldif,Spain,76,76,89,92,60,65,https://wefut.com/player/16/14508/iniesta
Zlatan Ibrahimović,89,ST,goldrare,Sweden,73,90,81,85,31,86,https://wefut.com/player/16/18412/zlatan-ibrahimovic
Eden Hazard,89,LM,goldrare,Belgium,90,82,84,92,32,64,https://wefut.com/player/16/3759/eden-hazard
Zlatan Ibrahimović,89,ST,goldrare,Sweden,73,90,81,85,31,86,https://wefut.com/player/16/236/zlatan-ibrahimovic
Wesley Sneijder,88,LM,imotm,Netherlands,84,84,92,87,58,65,https://wefut.com/player/16/18250/wesley-sneijder
Xabi Alonso,88,CDM,imotm,Spain,58,74,91,78,81,79,https://wefut.com/player/16/18249/xabi-alonso
Fernando Torres,88,ST,imotm,Spain,90,89,74,87,30,76,https://wefut.com/player/16/18245/fernando-torres
Steven Gerrard,88,CM,imotm,England,82,87,91,80,70,88,https://wefut.com/player/16/18243/steven-gerrard
Ashley Cole,88,LB,imotm,England,92,62,78,82,86,78,https://wefut.com/player/16/18238/ashley-cole
Diego,88,CAM,imotm,Brazil,83,83,90,89,40,70,https://wefut.com/player/16/18139/diego
Toni Kroos,88,CM,imotm,Germany,57,83,91,83,70,72,https://wefut.com/player/16/18094/toni-kroos
Arturo Vidal,88,CM,imotm,Chile,79,84,84,84,86,87,https://wefut.com/player/16/18088/arturo-vidal
Brian Laudrup,88,CF,legend,Denmark,87,83,80,88,27,65,https://wefut.com/player/16/11770/brian-laudrup
Davor Šuker,88,ST,legend,Croatia,81,86,79,86,66,76,https://wefut.com/player/16/10354/davor-suker
Frank Rijkaard,88,CB,legend,Netherlands,70,68,73,68,87,84,https://wefut.com/player/16/10144/frank-rijkaard
Andriy Shevchenko,88,ST,legend,Ukraine,84,87,71,84,33,73,https://wefut.com/player/16/129/andriy-shevchenko
Patrick Kluivert,88,ST,legend,Netherlands,86,86,80,82,41,81,https://wefut.com/player/16/81/patrick-kluivert
Jari Litmanen,88,CAM,legend,Finland,82,87,83,81,32,64,https://wefut.com/player/16/80/jari-litmanen
Michael Owen,88,ST,legend,England,89,85,67,86,22,64,https://wefut.com/player/16/75/michael-owen
Robert Pirès,88,LM,legend,France,86,79,86,86,35,62,https://wefut.com/player/16/38/robert-pires
Patrick Vieira,88,CM,legend,France,84,71,79,82,85,91,https://wefut.com/player/16/37/patrick-vieira
Javier Zanetti,88,RB,legend,Argentina,86,63,84,84,85,80,https://wefut.com/player/16/25/javier-zanetti
Roberto Carlos,88,LB,legend,Brazil,91,81,84,79,82,85,https://wefut.com/player/16/24/roberto-carlos
Kevin De Bruyne,89,CAM,legend,Portugal,84,80,86,86,43,76,https://wefut.com/player/16/23/rui-costa
Roy Keane,88,CM,legend,Republic of Ireland,71,71,81,78,86,90,https://wefut.com/player/16/10/roy-keane
David Villa,88,ST,goldblue,Spain,80,92,85,90,40,75,https://wefut.com/player/16/19931/david-villa
Kaká,88,CAM,goldblue,Brazil,75,88,89,88,35,72,https://wefut.com/player/16/19925/kaka
Samuel Eto'o,88,ST,goldblue,Cameroon,82,90,85,89,45,82,https://wefut.com/player/16/17917/samuel-eto-o
Darijo Srna,88,RB,goldblue,Croatia,83,85,92,84,87,86,https://wefut.com/player/16/17891/darijo-srna
Alex Sandro,88,LB,goldblue,Brazil,90,75,83,87,88,84,https://wefut.com/player/16/17883/alex-sandro
Mauro Icardi,88,ST,goldblue,Argentina,86,91,76,88,38,88,https://wefut.com/player/16/17880/mauro-icardi
Lassana Diarra,88,CDM,goldblue,France,83,58,84,86,88,80,https://wefut.com/player/16/17847/lassana-diarra
André-Pierre Gignac,88,ST,goldblue,France,78,93,85,87,45,88,https://wefut.com/player/16/17784/andre-pierre-gignac
Bruno,88,CM,goldblue,Spain,64,82,88,84,85,86,https://wefut.com/player/16/17760/bruno
Marcelo,88,LB,goldblue,Brazil,87,74,83,90,89,87,https://wefut.com/player/16/17758/marcelo
Andrés Guardado,88,CDM,goldblue,Mexico,88,78,90,91,80,76,https://wefut.com/player/16/17606/andres-guardado
Marko Arnautović,88,LM,goldblue,Austria,85,89,88,89,57,88,https://wefut.com/player/16/17579/marko-arnautovic
Chris Smalling,88,CB,goldblue,England,83,40,75,76,93,89,https://wefut.com/player/16/17573/chris-smalling
Toby Alderweireld,88,CB,goldblue,Belgium,70,72,77,72,90,86,https://wefut.com/player/16/17565/toby-alderweireld
N'Golo Kanté,88,CM,goldblue,France,85,75,82,84,86,85,https://wefut.com/player/16/17445/n-golo-kante
David Silva,88,CAM,pink,Spain,73,74,89,89,32,58,https://wefut.com/player/16/19914/david-silva
Mesut Özil,88,CAM,pink,Germany,72,75,89,87,24,57,https://wefut.com/player/16/19913/mesut-ozil
Hulk,88,RM,motm,Brazil,89,91,89,89,48,90,https://wefut.com/player/16/17501/hulk
Marco Reus,88,LM,motm,Germany,92,88,88,90,41,70,https://wefut.com/player/16/17063/marco-reus
Pepe,88,CB,goldif,Portugal,77,60,67,67,92,92,https://wefut.com/player/16/21340/pepe
Alexandre Lacazette,88,ST,goldif,France,92,90,84,90,39,81,https://wefut.com/player/16/20721/alexandre-lacazette
Coutinho,88,LW,goldif,Brazil,86,86,89,91,42,68,https://wefut.com/player/16/20720/coutinho
Sergio Ramos,88,CB,goldif,Spain,80,61,74,68,89,83,https://wefut.com/player/16/17505/sergio-ramos
